Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps,Year,Week,Tackle %,Sack %,QB Hit %
Luke Stocker ,TE,ATL,1,16,16,26,0,6,0,6,0.0,0.0,2020,11,,,
Anthony Sherman ,RB,KC,1,2,2,3,0,0,0,0,0.0,0.0,2020,11,,,
Ryan Tannehill ,QB,TEN,1,70,70,100,6,0,50,50,22.9,32.7,2020,11,,,
Kirk Cousins ,QB,MIN,1,64,64,98,2,0,48,48,23.0,35.9,2020,11,,,
Russell Wilson ,QB,SEA,1,66,66,100,15,0,58,58,20.1,30.5,2020,11,,,
Alshon Jeffery ,WR,PHI,1,5,5,7,0,40,0,40,0.0,0.0,2020,11,,,
Mohamed Sanu ,WR,DET,1,15,15,27,0,0,0,0,0.0,0.0,2020,11,,,
T.Y. Hilton ,WR,IND,1,51,51,61,0,12,6,12,3.6,7.1,2020,11,,,
Marvin Jones Jr. ,WR,DET,1,50,50,89,0,12,8,12,5.1,10.2,2020,11,,,
Derek Carrier ,TE,LV,1,1,1,2,0,100,100,100,1.4,140.0,2020,11,,,
Travis Kelce ,TE,KC,1,69,69,88,0,14,13,16,18.9,27.4,2020,11,,,
DeAndre Hopkins ,WR,ARI,1,61,61,91,0,13,8,13,5.1,8.4,2020,11,,,
Robert Woods ,WR,LAR,1,68,68,94,3,22,21,25,18.6,27.4,2020,11,,,
Kenny Stills ,WR,HOU,1,4,4,7,0,0,0,0,0.0,0.0,2020,11,,,
Keenan Allen ,WR,LAC,1,78,78,95,0,24,21,24,18.5,23.7,2020,11,,,
Giovani Bernard ,RB,CIN,1,37,37,54,24,14,35,38,5.5,14.9,2020,11,,,
Le'Veon Bell ,RB,KC,1,20,20,26,35,5,40,40,9.6,48.0,2020,11,,,
Rex Burkhead ,RB,NE,1,12,12,17,33,25,50,58,1.2,10.0,2020,11,,,
Tyler Eifert ,TE,JAC,1,24,24,41,0,21,8,21,3.2,13.3,2020,11,,,
Luke Willson ,TE,BAL,1,11,11,17,0,0,0,0,0.0,0.0,2020,11,,,
