Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps,Year,Week,Tackle %,Sack %,QB Hit %
Ronald Jones II ,RB,TB,1,27,27,34,41,19,56,59,5.9,21.9,2019,14,,,
Royce Freeman ,RB,DEN,1,27,27,46,30,7,37,37,9.2,34.1,2019,14,,,
Nick Chubb ,RB,CLE,1,38,38,70,39,3,42,42,11.7,30.8,2019,14,,,
Myles Gaskin ,RB,MIA,1,13,13,18,31,15,38,46,1.1,8.5,2019,14,,,
Courtland Sutton ,WR,DEN,1,57,57,97,0,12,9,12,3.4,6.0,2019,14,,,
James Washington ,WR,PIT,1,42,42,71,0,10,10,10,3.3,7.9,2019,14,,,
Anthony Miller ,WR,CHI,1,62,62,89,0,6,5,6,10.2,16.5,2019,14,,,
Marcell Ateman ,WR,OAK,1,2,2,3,0,0,0,0,0.0,0.0,2019,14,,,
Calvin Ridley ,WR,ATL,1,36,36,52,0,14,14,14,13.6,37.8,2019,14,,,
Michael Gallup ,WR,DAL,1,58,58,79,0,17,10,17,10.9,18.8,2019,14,,,
Tre'Quan Smith ,WR,NO,1,56,56,78,0,7,4,7,8.9,15.9,2019,14,,,
Cedrick Wilson ,WR,DAL,1,5,5,7,0,20,0,20,0.0,0.0,2019,14,,,
Deon Cain ,WR,PIT,1,15,15,25,0,7,7,7,2.2,14.7,2019,14,,,
D.J. Moore ,WR,CAR,1,70,70,99,1,9,7,10,8.1,11.6,2019,14,,,
Christian Kirk ,WR,ARI,1,56,56,97,2,16,16,18,8.9,15.9,2019,14,,,
Mark Andrews ,TE,BAL,1,9,9,15,0,33,11,33,1.4,15.6,2019,14,,,
Dallas Goedert ,TE,PHI,1,60,60,68,0,10,5,10,4.1,6.8,2019,14,,,
Jaylen Samuels ,RB,PIT,1,27,27,46,26,7,33,33,3.4,12.6,2019,14,,,
Mike Gesicki ,TE,MIA,1,50,50,69,0,10,2,10,0.6,1.2,2019,14,,,
Troy Fumagalli ,TE,DEN,1,16,16,27,0,6,6,6,0.3,1.9,2019,14,,,
Hayden Hurst ,TE,BAL,1,28,28,46,0,11,11,11,13.3,47.5,2019,14,,,
Braxton Berrios ,WR,NYJ,1,2,2,3,0,50,0,50,0.0,0.0,2019,14,,,
D.J. Chark Jr. ,WR,JAC,1,58,58,88,0,17,16,17,7.5,12.9,2019,14,,,
Nyheim Hines ,RB,IND,1,35,35,56,11,14,23,26,0.5,1.4,2019,14,,,
Josh Allen ,QB,BUF,1,73,73,100,3,0,56,56,10.7,14.7,2019,14,,,
Bo Scarbrough ,RB,DET,1,34,34,48,56,9,59,65,7.0,20.6,2019,14,,,
Justin Jackson ,RB,LAC,1,12,12,20,25,0,25,25,2.5,20.8,2019,14,,,
Allen Lazard ,WR,GB,1,33,33,54,0,9,6,9,1.9,5.8,2019,14,,,
Richie James Jr. ,WR,SF,1,11,11,17,9,0,9,9,-0.1,-0.9,2019,14,,,
Auden Tate ,WR,CIN,1,29,29,40,0,14,3,14,1.6,5.5,2019,14,,,
Rashaad Penny ,RB,SEA,1,1,1,2,0,100,100,100,1.6,160.0,2019,14,,,
Sony Michel ,RB,NE,1,9,9,14,56,11,67,67,0.9,10.0,2019,14,,,
Dalton Schultz ,TE,DAL,1,3,3,4,0,0,0,0,0.0,0.0,2019,14,,,
Ian Thomas ,TE,CAR,1,61,61,86,0,16,8,16,11.7,19.2,2019,14,,,
Javon Wims ,WR,CHI,1,31,31,44,0,10,0,10,0.0,0.0,2019,14,,,
Jordan Thomas ,TE,HOU,1,7,7,9,0,0,0,0,0.0,0.0,2019,14,,,
Jordan Akins ,TE,HOU,1,48,48,63,0,19,8,19,4.9,10.2,2019,14,,,
Robert Foster ,WR,BUF,1,19,19,26,0,21,0,21,0.0,0.0,2019,14,,,
DaeSean Hamilton ,WR,DEN,1,44,44,75,0,9,5,9,3.6,8.2,2019,14,,,
Keke Coutee ,WR,HOU,1,55,55,72,0,15,9,15,4.8,8.7,2019,14,,,
Chase Edmonds ,RB,ARI,1,11,11,19,9,18,9,27,0.9,8.2,2019,14,,,
Jordan Wilkins ,RB,IND,1,9,9,14,11,0,11,11,0.1,1.1,2019,14,,,
Phillip Lindsay ,RB,DEN,1,31,31,53,52,6,58,58,11.5,37.1,2019,14,,,
Durham Smythe ,TE,MIA,1,41,41,57,0,2,2,2,0.2,0.5,2019,14,,,
Noah Fant ,TE,DEN,1,29,29,49,0,14,14,14,17.3,59.7,2019,14,,,
Marquez Valdes-Scantling ,WR,GB,1,10,10,16,0,0,0,0,0.0,0.0,2019,14,,,
Damion Ratley ,WR,CLE,1,16,16,30,0,6,0,6,0.0,0.0,2019,14,,,
Tyler Conklin ,TE,MIN,1,35,35,49,0,9,9,9,1.3,3.7,2019,14,,,
Justin Watson ,WR,TB,1,43,43,54,0,19,12,19,11.9,27.7,2019,14,,,
Russell Gage ,WR,ATL,1,35,35,51,0,11,6,11,1.7,4.9,2019,14,,,
Boston Scott ,RB,PHI,1,38,38,43,26,16,42,42,18.8,49.5,2019,14,,,
Chris Lacy ,WR,DET,1,3,3,4,0,0,0,0,0.0,0.0,2019,14,,,
Da'Mari Scott ,WR,NYG,1,3,3,6,0,0,0,0,0.0,0.0,2019,14,,,
Darvin Kidsy ,WR,WAS,1,1,1,2,0,0,0,0,0.0,0.0,2019,14,,,
Gus Edwards ,RB,BAL,1,20,20,33,20,0,20,20,2.0,10.0,2019,14,,,
Vyncint Smith ,WR,NYJ,1,35,35,49,0,9,3,9,3.7,10.6,2019,14,,,
Byron Pringle ,WR,KC,1,1,1,1,0,100,100,100,1.4,140.0,2019,14,,,
Ryan Nall ,RB,CHI,1,1,1,1,0,0,0,0,0.0,0.0,2019,14,,,
Mike Boone ,RB,MIN,1,6,6,8,83,0,83,83,1.3,21.7,2019,14,,,
Tanner Hudson ,TE,TB,1,6,6,8,0,0,0,0,0.0,0.0,2019,14,,,
Christian Blake ,WR,ATL,1,12,12,17,0,0,0,0,0.0,0.0,2019,14,,,
Reggie Bonnafon ,RB,CAR,1,2,2,3,50,0,50,50,0.6,30.0,2019,14,,,
Kyle Allen ,QB,CAR,1,71,71,100,8,0,66,66,20.1,28.3,2019,14,,,
Ross Dwelley ,TE,SF,1,9,9,14,0,0,0,0,0.0,0.0,2019,14,,,
Cam Sims ,WR,WAS,1,3,3,5,0,0,0,0,0.0,0.0,2019,14,,,
Dontrell Hilliard ,RB,CLE,1,3,3,6,0,0,0,0,0.0,0.0,2019,14,,,
Jaeden Graham ,TE,ATL,1,8,8,12,0,0,0,0,0.0,0.0,2019,14,,,
KhaDarel Hodge ,WR,CLE,1,13,13,24,0,8,0,8,0.0,0.0,2019,14,,,
Malik Turner ,WR,SEA,1,14,14,21,0,21,7,21,1.0,7.1,2019,14,,,
Dwayne Haskins ,QB,WAS,1,63,63,100,2,0,44,44,9.7,15.4,2019,14,,,
A.J. Brown ,WR,TEN,1,51,51,84,2,14,12,16,28.6,56.1,2019,14,,,
D.K. Metcalf ,WR,SEA,1,52,52,79,0,12,12,12,7.8,15.0,2019,14,,,
N'Keal Harry ,WR,NE,1,2,2,3,0,50,50,50,1.2,60.0,2019,14,,,
Drew Lock ,QB,DEN,1,59,59,100,5,0,51,51,24.9,42.2,2019,14,,,
Marquise Brown ,WR,BAL,1,43,43,70,0,7,7,7,-0.2,-0.5,2019,14,,,
Kelvin Harmon ,WR,WAS,1,53,53,84,0,8,2,8,3.0,5.7,2019,14,,,
JJ Arcega-Whiteside ,WR,PHI,1,79,79,90,0,4,3,4,2.9,3.7,2019,14,,,
David Montgomery ,RB,CHI,1,45,45,64,44,2,44,47,6.6,14.7,2019,14,,,
Deebo Samuel ,WR,SF,1,50,50,76,4,16,14,20,10.9,21.8,2019,14,,,
Justice Hill ,RB,BAL,1,6,6,10,50,0,50,50,0.8,13.3,2019,14,,,
Riley Ridley ,WR,CHI,1,29,29,41,0,3,3,3,0.5,1.7,2019,14,,,
Devin Singletary ,RB,BUF,1,60,60,82,28,13,38,42,11.8,19.7,2019,14,,,
Miles Sanders ,RB,PHI,1,50,50,57,30,10,38,40,6.9,13.8,2019,14,,,
Kaden Smith ,TE,NYG,1,50,50,96,0,10,4,10,0.9,1.8,2019,14,,,
Patrick Laird ,RB,MIA,1,59,59,82,25,8,32,34,8.6,14.6,2019,14,,,
Alexander Hollins ,WR,MIN,1,5,5,7,0,20,0,20,0.0,0.0,2019,14,,,
Foster Moreau ,TE,OAK,1,25,25,40,0,12,12,12,7.4,29.6,2019,14,,,
Ty Johnson ,RB,DET,1,21,21,30,10,5,14,14,1.0,4.8,2019,14,,,
Andy Isabella ,WR,ARI,1,12,12,21,0,8,8,8,0.5,4.2,2019,14,,,
Parris Campbell ,WR,IND,1,31,31,49,0,16,10,16,1.2,3.9,2019,14,,,
Terry McLaurin ,WR,WAS,1,60,60,95,0,12,7,12,11.7,19.5,2019,14,,,
Qadree Ollison ,RB,ATL,1,10,10,14,40,0,40,40,0.6,6.0,2019,14,,,
Jesper Horsted ,TE,CHI,1,31,31,44,0,13,13,13,3.6,11.6,2019,14,,,
Ryquell Armstead ,RB,JAC,1,15,15,23,13,13,13,27,0.7,4.7,2019,14,,,
Keelan Doss ,WR,OAK,1,28,28,45,0,11,11,11,2.6,9.3,2019,14,,,
Gardner Minshew II ,QB,JAC,1,66,66,100,9,0,65,65,13.6,20.6,2019,14,,,
Trevon Wesco ,TE,NYJ,1,11,11,15,0,0,0,0,0.0,0.0,2019,14,,,
Alec Ingold ,RB,OAK,1,8,8,13,13,0,13,13,-0.1,-1.3,2019,14,,,
Mecole Hardman ,WR,KC,1,14,14,18,0,7,7,7,10.8,77.1,2019,14,,,
Jakobi Meyers ,WR,NE,1,37,37,56,0,8,3,8,3.5,9.5,2019,14,,,
Kyler Murray ,QB,ARI,1,58,58,100,10,0,62,62,13.0,22.4,2019,14,,,
Isaac Nauta ,TE,DET,1,6,6,8,0,17,17,17,0.3,5.0,2019,14,,,
Benny Snell Jr. ,RB,PIT,1,24,24,41,67,0,67,67,2.1,8.8,2019,14,,,
Irv Smith Jr. ,TE,MIN,1,51,51,71,0,8,6,8,2.1,4.1,2019,14,,,
Jace Sternberger ,TE,GB,1,6,6,10,0,17,0,17,0.0,0.0,2019,14,,,
Diontae Johnson ,WR,PIT,1,41,41,69,2,20,17,22,19.6,47.8,2019,14,,,
Darwin Thompson ,RB,KC,1,21,21,27,19,24,38,43,4.3,20.5,2019,14,,,
Alexander Mattison ,RB,MIN,1,27,27,38,52,7,59,59,6.4,23.7,2019,14,,,
Stanley Morgan Jr. ,WR,CIN,1,22,22,30,0,5,0,5,0.0,0.0,2019,14,,,
Kerrith Whyte Jr. ,RB,PIT,1,8,8,14,63,13,75,75,5.0,62.5,2019,14,,,
Dawson Knox ,TE,BUF,1,54,54,74,0,7,2,7,3.7,6.9,2019,14,,,
Miles Boykin ,WR,BAL,1,18,18,30,0,0,0,0,0.0,0.0,2019,14,,,
Ashton Dulin ,WR,IND,1,14,14,22,0,0,0,0,0.0,0.0,2019,14,,,
Chandler Cox ,RB,MIA,1,7,7,10,0,0,0,0,0.0,0.0,2019,14,,,
Darius Slayton ,WR,NYG,1,42,42,81,0,19,12,19,27.4,65.2,2019,14,,,
Olabisi Johnson ,WR,MIN,1,51,51,71,0,2,2,2,6.9,13.5,2019,14,,,
Andrew Beck ,TE,DEN,1,20,20,34,0,5,5,5,2.9,14.5,2019,14,,,
David Blough ,QB,DET,1,71,71,100,0,0,56,56,10.2,14.4,2019,14,,,
Stephen Carlson ,TE,CLE,1,39,39,72,0,3,0,3,0.0,0.0,2019,14,,,
Hale Hentges ,TE,WAS,1,21,21,33,0,0,0,0,0.0,0.0,2019,14,,,
Khari Blasingame ,RB,TEN,1,13,13,21,0,15,15,15,4.7,36.2,2019,14,,,
Olamide Zaccheaus ,WR,ATL,1,21,21,30,0,10,5,10,15.3,72.9,2019,14,,,
Deonte Harris ,WR,NO,1,7,7,10,14,14,29,29,2.1,30.0,2019,14,,,
Jason Moore ,WR,LAC,1,12,12,20,0,0,0,0,0.0,0.0,2019,14,,,
Jalen Guyton ,WR,LAC,1,9,9,15,0,22,0,22,0.0,0.0,2019,14,,,
Steven Sims ,WR,WAS,1,45,45,71,0,16,9,16,4.0,8.9,2019,14,,,
Ventell Bryant ,WR,DAL,1,1,1,1,0,0,0,0,0.0,0.0,2019,14,,,
Charles Jones ,TE,JAC,1,6,6,9,0,0,0,0,0.0,0.0,2019,14,,,
Devlin Hodges ,QB,PIT,1,59,59,100,8,0,41,41,13.5,22.9,2019,14,,,
D'Ernest Johnson ,RB,CLE,1,2,2,4,0,0,0,0,0.0,0.0,2019,14,,,
Aaron Rodgers ,QB,GB,1,59,59,100,5,0,61,61,14.4,24.4,2019,15,,,
Adrian Peterson ,RB,WAS,1,32,32,60,50,9,59,59,15.1,47.2,2019,15,,,
Benjamin Watson ,TE,NE,1,34,34,52,0,0,0,0,0.0,0.0,2019,15,,,
Danny Amendola ,WR,DET,1,55,55,86,0,24,15,24,10.2,18.5,2019,15,,,
Drew Brees ,QB,NO,1,60,60,90,0,0,50,50,28.3,47.2,2019,15,,,
Eli Manning ,QB,NYG,1,65,65,97,0,0,43,43,16.3,25.1,2019,15,,,
Frank Gore ,RB,BUF,1,19,19,29,53,0,53,53,1.5,7.9,2019,15,,,
Jared Cook ,TE,NO,1,28,28,42,0,14,14,14,5.4,19.3,2019,15,,,
Jason Witten ,TE,DAL,1,46,46,63,0,11,9,11,9.6,20.9,2019,15,,,
Julian Edelman ,WR,NE,1,40,40,62,0,13,5,13,0.9,2.3,2019,15,,,
Larry Fitzgerald ,WR,ARI,1,47,47,77,0,11,6,11,4.2,8.9,2019,15,,,
LeSean McCoy ,RB,KC,1,17,17,25,35,0,35,35,1.6,9.4,2019,15,,,
Marcedes Lewis ,TE,GB,1,32,32,54,0,3,3,3,0.6,1.9,2019,15,,,
Matt Ryan ,QB,ATL,1,67,67,100,7,0,66,66,19.1,28.5,2019,15,,,
Matthew Slater ,WR,NE,1,2,2,3,0,0,0,0,0.0,0.0,2019,15,,,
Philip Rivers ,QB,LAC,1,62,62,100,0,0,63,63,11.3,18.2,2019,15,,,
Ryan Fitzpatrick ,QB,MIA,1,71,71,100,6,0,63,63,20.5,28.9,2019,15,,,
Ted Ginn Jr. ,WR,NO,1,19,19,28,0,5,5,5,1.3,6.8,2019,15,,,
Tom Brady ,QB,NE,1,65,65,100,3,0,48,48,12.9,19.8,2019,15,,,
Golden Tate ,WR,NYG,1,38,38,57,0,11,3,11,11.1,29.2,2019,15,,,
Andre Roberts ,WR,BUF,1,17,17,26,0,12,6,12,0.7,4.1,2019,15,,,
Emmanuel Sanders ,WR,SF,1,61,61,94,0,7,3,7,0.9,1.5,2019,15,,,
Jimmy Graham ,TE,GB,1,25,25,42,0,16,4,16,0.0,0.0,2019,15,,,
Julio Jones ,WR,ATL,1,59,59,88,0,34,22,34,25.4,43.1,2019,15,,,
Mark Ingram II ,RB,BAL,1,34,34,52,38,6,41,44,22.6,66.5,2019,15,,,
Randall Cobb ,WR,DAL,1,29,29,40,0,7,3,7,-0.3,-1.0,2019,15,,,
Kyle Rudolph ,TE,MIN,1,35,35,54,0,9,9,9,4.8,13.7,2019,15,,,
Andy Dalton ,QB,CIN,1,66,66,100,3,0,50,50,6.1,9.2,2019,15,,,
Lance Kendricks ,TE,LAC,1,2,2,3,0,0,0,0,0.0,0.0,2019,15,,,
Luke Stocker ,TE,ATL,1,22,22,33,0,5,5,5,0.9,4.1,2019,15,,,
Anthony Sherman ,RB,KC,1,14,14,20,0,0,0,0,0.0,0.0,2019,15,,,
Dion Lewis ,RB,TEN,1,24,24,35,13,4,17,17,8.1,33.8,2019,15,,,
Lee Smith ,TE,BUF,1,31,31,48,0,0,0,0,0.0,0.0,2019,15,,,
Charles Clay ,TE,ARI,1,43,43,70,0,5,2,5,1.8,4.2,2019,15,,,
Virgil Green ,TE,LAC,1,23,23,37,0,0,0,0,0.0,0.0,2019,15,,,
Robert Griffin III ,QB,BAL,1,9,9,14,44,0,56,56,0.6,6.7,2019,15,,,
Ryan Tannehill ,QB,TEN,1,68,68,100,4,0,57,57,25.2,37.1,2019,15,,,
Kirk Cousins ,QB,MIN,1,62,62,95,5,0,45,45,12.7,20.5,2019,15,,,
Russell Wilson ,QB,SEA,1,67,67,100,4,0,43,43,19.3,28.8,2019,15,,,
Mohamed Sanu ,WR,NE,1,56,56,86,0,14,4,14,1.3,2.3,2019,15,,,
T.Y. Hilton ,WR,IND,1,29,29,52,0,31,14,31,2.5,8.6,2019,15,,,
Jarius Wright ,WR,CAR,1,43,43,60,0,9,2,9,0.9,2.1,2019,15,,,
Brandon Bolden ,RB,NE,1,1,1,2,0,0,0,0,0.0,0.0,2019,15,,,
Alex Tanney ,QB,NYG,1,2,2,3,0,0,50,50,0.0,0.0,2019,15,,,
Derek Carrier ,TE,OAK,1,23,23,31,0,9,4,9,0.5,2.2,2019,15,,,
Josh Gordon ,WR,SEA,1,25,25,37,0,4,8,8,4.8,19.2,2019,15,,,
Cole Beasley ,WR,BUF,1,45,45,69,0,13,2,13,0.6,1.3,2019,15,,,
Chris Hogan ,WR,CAR,1,6,6,8,0,50,17,50,1.3,21.7,2019,15,,,
Jamize Olawale ,RB,DAL,1,10,10,14,0,0,0,0,0.0,0.0,2019,15,,,
Travis Kelce ,TE,KC,1,62,62,90,0,21,18,21,14.2,22.9,2019,15,,,
DeAndre Hopkins ,WR,HOU,1,63,63,100,0,13,10,13,11.9,18.9,2019,15,,,
Robert Woods ,WR,LAR,1,74,74,100,0,12,5,12,1.7,2.3,2019,15,,,
Kenny Stills ,WR,HOU,1,39,39,62,0,8,8,8,15.5,39.7,2019,15,,,
Cordarrelle Patterson ,WR,CHI,1,38,38,45,3,11,5,13,0.6,1.6,2019,15,,,
Keenan Allen ,WR,LAC,1,58,58,94,0,17,16,17,9.9,17.1,2019,15,,,
Tavon Austin ,WR,DAL,1,26,26,36,8,4,12,12,12.2,46.9,2019,15,,,
Spencer Ware ,RB,KC,1,27,27,39,26,7,33,33,3.5,13.0,2019,15,,,
Giovani Bernard ,RB,CIN,1,22,22,33,23,9,32,32,3.7,16.8,2019,15,,,
Le'Veon Bell ,RB,NYJ,1,51,51,82,41,4,45,45,8.8,17.3,2019,15,,,
Chris Thompson ,RB,WAS,1,18,18,34,0,17,11,17,2.6,14.4,2019,15,,,
Rex Burkhead ,RB,NE,1,20,20,31,30,10,40,40,11.9,59.5,2019,15,,,
Kenjon Barner ,RB,ATL,1,3,3,4,0,67,33,67,-1.6,-53.3,2019,15,,,
Zach Ertz ,TE,PHI,1,68,68,88,0,15,7,15,12.1,17.8,2019,15,,,
Tyler Eifert ,TE,CIN,1,36,36,55,0,14,8,14,4.4,12.2,2019,15,,,
Levine Toilolo ,TE,SF,1,11,11,17,0,0,0,0,0.0,0.0,2019,15,,,
Kyle Juszczyk ,RB,SF,1,25,25,38,8,8,16,16,6.7,26.8,2019,15,,,
Latavius Murray ,RB,NO,1,22,22,33,41,14,50,55,4.9,22.3,2019,15,,,
Ryan Griffin ,QB,TB,1,4,4,5,100,0,100,100,-0.1,-2.5,2019,15,,,
Demetrius Harris ,TE,CLE,1,42,42,60,0,5,2,5,1.3,3.1,2019,15,,,
Jaron Brown ,WR,SEA,1,11,11,16,0,9,9,9,0.9,8.2,2019,15,,,
Zach Line ,RB,NO,1,20,20,30,10,0,10,10,0.4,2.0,2019,15,,,
Jack Doyle ,TE,IND,1,46,46,82,0,11,4,11,2.1,4.6,2019,15,,,
Patrick DiMarco ,RB,BUF,1,25,25,38,0,4,0,4,0.0,0.0,2019,15,,,
Teddy Bridgewater ,QB,NO,1,6,6,9,50,0,50,50,-0.3,-5.0,2019,15,,,
Derek Carr ,QB,OAK,1,75,75,100,1,0,49,49,15.9,21.2,2019,15,,,
Logan Thomas ,TE,DET,1,42,42,66,0,10,0,10,0.0,0.0,2019,15,,,
Carlos Hyde ,RB,HOU,1,42,42,67,62,0,62,62,16.4,39.0,2019,15,,,
Devonta Freeman ,RB,ATL,1,53,53,79,23,6,26,28,5.5,10.4,2019,15,,,
Sammy Watkins ,WR,KC,1,52,52,75,0,8,6,8,6.9,13.3,2019,15,,,
Brandin Cooks ,WR,LAR,1,53,53,72,0,15,8,15,4.6,8.7,2019,15,,,
Davante Adams ,WR,GB,1,55,55,93,0,24,13,24,16.3,29.6,2019,15,,,
Allen Robinson II ,WR,CHI,1,80,80,95,0,18,9,18,12.5,15.6,2019,15,,,
Odell Beckham Jr. ,WR,CLE,1,68,68,97,0,19,12,19,6.6,9.7,2019,15,,,
Jarvis Landry ,WR,CLE,1,68,68,97,0,12,7,12,2.3,3.4,2019,15,,,
James White ,RB,NE,1,25,25,38,12,16,24,28,12.2,48.8,2019,15,,,
Cody Latimer ,WR,NYG,1,15,15,22,0,13,7,13,2.1,14.0,2019,15,,,
Jimmy Garoppolo ,QB,SF,1,64,64,98,3,0,56,56,12.6,19.7,2019,15,,,
John Brown ,WR,BUF,1,61,61,94,0,16,11,16,9.9,16.2,2019,15,,,
Albert Wilson ,WR,MIA,1,57,57,80,0,14,9,14,5.9,10.4,2019,15,,,
Willie Snead IV ,WR,BAL,1,41,41,63,0,2,2,2,1.5,3.7,2019,15,,,
Allen Hurns ,WR,MIA,1,33,33,46,0,3,3,3,0.9,2.7,2019,15,,,
Dontrelle Inman ,WR,IND,1,31,31,55,0,10,6,10,2.5,8.1,2019,15,,,
Keith Smith ,RB,ATL,1,9,9,13,0,0,0,0,0.0,0.0,2019,15,,,
Adam Thielen ,WR,MIN,1,33,33,51,3,9,12,12,3.0,9.1,2019,15,,,
Cameron Brate ,TE,TB,1,31,31,41,0,23,10,23,3.3,10.6,2019,15,,,
Josh Hill ,TE,NO,1,47,47,70,0,2,2,2,6.5,13.8,2019,15,,,
Darren Fells ,TE,HOU,1,52,52,83,0,4,2,4,0.2,0.4,2019,15,,,
Diontae Spencer ,WR,DEN,1,3,3,5,0,0,0,0,0.0,0.0,2019,15,,,
Scott Simonson ,TE,NYG,1,24,24,36,0,4,4,4,0.1,0.4,2019,15,,,
Seth Roberts ,WR,BAL,1,36,36,55,0,8,8,8,12.6,35.0,2019,15,,,
Jameis Winston ,QB,TB,1,71,71,95,3,0,62,62,33.7,47.5,2019,15,,,
Amari Cooper ,WR,DAL,1,50,50,68,0,4,2,4,1.9,3.8,2019,15,,,
DeVante Parker ,WR,MIA,1,67,67,94,0,10,6,10,19.2,28.7,2019,15,,,
Melvin Gordon III ,RB,LAC,1,25,25,40,28,28,48,56,2.4,9.6,2019,15,,,
Todd Gurley II ,RB,LAR,1,71,71,96,15,8,20,24,17.8,25.1,2019,15,,,
Maxx Williams ,TE,ARI,1,40,40,66,0,3,3,3,0.4,1.0,2019,15,,,
Ameer Abdullah ,RB,MIN,1,15,15,23,33,13,33,47,2.5,16.7,2019,15,,,
Tevin Coleman ,RB,SF,1,19,19,29,21,5,21,26,4.0,21.1,2019,15,,,
Sean Mannion ,QB,MIN,1,3,3,5,100,0,100,100,-0.3,-10.0,2019,15,,,
Duke Johnson Jr. ,RB,HOU,1,21,21,33,10,14,19,24,2.3,11.0,2019,15,,,
Javorius Allen ,RB,NYG,1,14,14,21,57,0,57,57,8.8,62.9,2019,15,,,
David Johnson ,RB,ARI,1,13,13,21,23,0,23,23,0.6,4.6,2019,15,,,
Malcolm Brown ,RB,LAR,1,3,3,4,0,0,0,0,0.0,0.0,2019,15,,,
Clive Walford ,TE,MIA,1,19,19,27,0,21,11,21,3.4,17.9,2019,15,,,
Nick O'Leary ,TE,JAC,1,21,21,37,0,0,0,0,0.0,0.0,2019,15,,,
Ben Koyack ,TE,JAC,1,20,20,35,0,0,0,0,0.0,0.0,2019,15,,,
Jesse James ,TE,DET,1,38,38,59,0,13,8,13,3.1,8.2,2019,15,,,
Tyler Kroft ,TE,BUF,1,19,19,29,0,5,5,5,7.4,38.9,2019,15,,,
Jeff Heuerman ,TE,DEN,1,24,24,39,0,4,0,4,0.0,0.0,2019,15,,,
Nick Boyle ,TE,BAL,1,48,48,74,0,0,0,0,0.0,0.0,2019,15,,,
MyCole Pruitt ,TE,TEN,1,31,31,46,0,0,0,0,0.0,0.0,2019,15,,,
Blake Bell ,TE,KC,1,31,31,45,0,6,6,6,4.1,13.2,2019,15,,,
Justin Hardy ,WR,ATL,1,5,5,7,0,0,0,0,0.0,0.0,2019,15,,,
Tyler Lockett ,WR,SEA,1,53,53,79,0,17,15,17,18.0,34.0,2019,15,,,
Breshad Perriman ,WR,TB,1,67,67,89,1,9,9,10,29.6,44.2,2019,15,,,
Jamison Crowder ,WR,NYJ,1,51,51,82,0,22,12,22,21.0,41.2,2019,15,,,
Ty Montgomery ,RB,NYJ,1,13,13,21,15,8,23,23,1.0,7.7,2019,15,,,
Phillip Dorsett II ,WR,NE,1,9,9,14,0,0,0,0,0.0,0.0,2019,15,,,
Stefon Diggs ,WR,MIN,1,46,46,71,2,13,11,15,8.0,17.4,2019,15,,,
Chris Manhertz ,TE,CAR,1,28,28,39,0,0,0,0,0.0,0.0,2019,15,,,
Jake Kumerow ,WR,GB,1,11,11,19,0,9,9,9,4.9,44.5,2019,15,,,
C.J. Uzomah ,TE,CIN,1,46,46,70,0,4,2,4,0.8,1.7,2019,15,,,
Darren Waller ,TE,OAK,1,66,66,88,0,15,12,15,12.2,18.5,2019,15,,,
Chris Conley ,WR,JAC,1,50,50,88,0,16,8,16,16.9,33.8,2019,15,,,
Michael Burton ,RB,WAS,1,6,6,11,0,0,0,0,0.0,0.0,2019,15,,,
Damiere Byrd ,WR,ARI,1,21,21,34,0,29,29,29,8.6,41.0,2019,15,,,
Matt LaCosse ,TE,NE,1,49,49,75,0,6,6,6,2.2,4.5,2019,15,,,
Tyrell Williams ,WR,OAK,1,72,72,96,0,4,3,4,10.5,14.6,2019,15,,,
Raheem Mostert ,RB,SF,1,34,34,52,41,6,44,47,9.9,29.1,2019,15,,,
Eric Tomlinson ,TE,OAK,1,19,19,25,0,0,0,0,0.0,0.0,2019,15,,,
Daniel Brown ,TE,NYJ,1,30,30,48,0,7,3,7,0.4,1.3,2019,15,,,
Laquon Treadwell ,WR,MIN,1,11,11,17,0,0,0,0,0.0,0.0,2019,15,,,
Ezekiel Elliott ,RB,DAL,1,50,50,68,48,8,54,56,28.0,56.0,2019,15,,,
Jared Goff ,QB,LAR,1,74,74,100,4,0,73,73,18.6,25.1,2019,15,,,
Derrick Henry ,RB,TEN,1,40,40,59,53,3,53,55,8.6,21.5,2019,15,,,
Carson Wentz ,QB,PHI,1,77,77,100,4,0,60,60,21.5,27.9,2019,15,,,
Michael Thomas ,WR,NO,1,48,48,72,0,25,25,25,18.8,39.2,2019,15,,,
Tyler Boyd ,WR,CIN,1,57,57,86,0,12,5,12,2.6,4.6,2019,15,,,
Devontae Booker ,RB,DEN,1,5,5,8,20,0,20,20,0.5,10.0,2019,15,,,
Pharoh Cooper ,WR,ARI,1,12,12,20,0,8,8,8,1.7,14.2,2019,15,,,
Hunter Henry ,TE,LAC,1,43,43,69,0,5,5,5,0.9,2.1,2019,15,,,
Sterling Shepard ,WR,NYG,1,53,53,79,0,21,17,21,11.1,20.9,2019,15,,,
Austin Hooper ,TE,ATL,1,55,55,82,0,11,5,11,2.0,3.6,2019,15,,,
Tajae Sharpe ,WR,TEN,1,27,27,40,0,7,7,7,2.8,10.4,2019,15,,,
Dak Prescott ,QB,DAL,1,68,68,93,10,0,44,44,17.7,26.0,2019,15,,,
Jonathan Williams ,RB,IND,1,1,1,2,0,0,0,0,0.0,0.0,2019,15,,,
