Player,Team,Season,Date,Status,Opp,Injury,Week
Carson Palmer,ARI,2016,2016-12-18,day-to-day,NOR,concussion,15
Jared Veldheer,ARI,2016,2016-12-18,Injured Reserve,NOR,Tricep,15
Elie Bouka,ARI,2016,2016-12-24,Injured Reserve,SEA,Hamstring,16
Tyvon Branch,ARI,2016,2016-12-24,Injured Reserve,SEA,Groin,16
Jaron Brown,ARI,2016,2016-12-24,Injured Reserve,SEA,Knee,16
John Brown,ARI,2016,2016-12-24,Questionable,SEA,illness,16
Deone Bucannon,ARI,2016,2016-12-24,Injured Reserve,SEA,Ankle,16
Durell Eskridge,ARI,2016,2016-12-24,Injured Reserve,SEA,Arm,16
Alani Fua,ARI,2016,2016-12-24,Injured Reserve,SEA,Knee,16
D.J. Humphries,ARI,2016,2016-12-24,Out,SEA,concussion,16
Mike Jenkins,ARI,2016,2016-12-24,Injured Reserve,SEA,Knee,16
Ulrick John,ARI,2016,2016-12-24,Injured Reserve,SEA,Shoulder,16
Chris Johnson,ARI,2016,2016-12-24,Injured Reserve,SEA,Groin,16
Lamar Louis,ARI,2016,2016-12-24,Injured Reserve,SEA,Knee,16
Gabe Martin,ARI,2016,2016-12-24,Injured Reserve,SEA,Hamstring,16
Tyrann Mathieu,ARI,2016,2016-12-24,Injured Reserve,SEA,Shoulder,16
Evan Mathis,ARI,2016,2016-12-24,Injured Reserve,SEA,Ankle,16
Ifeanyi Momah,ARI,2016,2016-12-24,Injured Reserve,SEA,Wrist,16
Troy Niklas,ARI,2016,2016-12-24,Injured Reserve,SEA,Wrist,16
Tristan Okpalaugo,ARI,2016,2016-12-24,Injured Reserve,SEA,Hamstring,16
Carson Palmer,ARI,2016,2016-12-24,day-to-day,SEA,concussion,16
Jared Veldheer,ARI,2016,2016-12-24,Injured Reserve,SEA,Tricep,16
Brandon Williams,ARI,2016,2016-12-24,Questionable,SEA,back,16
Elie Bouka,ARI,2016,2017-01-01,Injured Reserve,LAR,Hamstring,17
Tyvon Branch,ARI,2016,2017-01-01,Injured Reserve,LAR,Groin,17
Jaron Brown,ARI,2016,2017-01-01,Injured Reserve,LAR,Knee,17
John Brown,ARI,2016,2017-01-01,Questionable,LAR,illness,17
Deone Bucannon,ARI,2016,2017-01-01,Injured Reserve,LAR,Ankle,17
Durell Eskridge,ARI,2016,2017-01-01,Injured Reserve,LAR,Arm,17
Alani Fua,ARI,2016,2017-01-01,Injured Reserve,LAR,Knee,17
D.J. Humphries,ARI,2016,2017-01-01,Out,LAR,concussion,17
Tony Jefferson,ARI,2016,2017-01-01,Injured Reserve,LAR,Knee,17
Mike Jenkins,ARI,2016,2017-01-01,Injured Reserve,LAR,Knee,17
Ulrick John,ARI,2016,2017-01-01,Injured Reserve,LAR,Shoulder,17
Chris Johnson,ARI,2016,2017-01-01,Injured Reserve,LAR,Groin,17
Lamar Louis,ARI,2016,2017-01-01,Injured Reserve,LAR,Knee,17
Gabe Martin,ARI,2016,2017-01-01,Injured Reserve,LAR,Hamstring,17
Tyrann Mathieu,ARI,2016,2017-01-01,Injured Reserve,LAR,Shoulder,17
Evan Mathis,ARI,2016,2017-01-01,Injured Reserve,LAR,Ankle,17
Ifeanyi Momah,ARI,2016,2017-01-01,Injured Reserve,LAR,Wrist,17
Sio Moore,ARI,2016,2017-01-01,Questionable,LAR,ankle,17
Troy Niklas,ARI,2016,2017-01-01,Injured Reserve,LAR,Wrist,17
Robert Nkemdiche,ARI,2016,2017-01-01,Questionable,LAR,ankle,17
Tristan Okpalaugo,ARI,2016,2017-01-01,Injured Reserve,LAR,Hamstring,17
Carson Palmer,ARI,2016,2017-01-01,day-to-day,LAR,concussion,17
Jared Veldheer,ARI,2016,2017-01-01,Injured Reserve,LAR,Tricep,17
Devin Fuller,ATL,2016,2016-09-11,Injured Reserve,TAM,Shoulder,1
Dashon Goldson,ATL,2016,2016-09-11,Questionable,TAM,hamstring,1
Akeem King,ATL,2016,2016-09-11,Injured Reserve,TAM,Foot,1
Keanu Neal,ATL,2016,2016-09-11,Out,TAM,knee,1
DeMarcus Van Dyke,ATL,2016,2016-09-11,Injured Reserve,TAM,Concussion,1
Terron Ward,ATL,2016,2016-09-11,Questionable,TAM,ankle,1
De'Vondre Campbell,ATL,2016,2016-09-18,Out,OAK,ankle,2
Devin Fuller,ATL,2016,2016-09-18,Injured Reserve,OAK,Shoulder,2
Akeem King,ATL,2016,2016-09-18,Injured Reserve,OAK,Foot,2
Keanu Neal,ATL,2016,2016-09-18,Out,OAK,knee,2
Brooks Reed,ATL,2016,2016-09-18,Questionable,OAK,shoulder,2
DeMarcus Van Dyke,ATL,2016,2016-09-18,Injured Reserve,OAK,Concussion,2
De'Vondre Campbell,ATL,2016,2016-09-26,Out,NOR,ankle,3
Devin Fuller,ATL,2016,2016-09-26,Injured Reserve,NOR,Shoulder,3
Julio Jones,ATL,2016,2016-09-26,Questionable,NOR,calf,3
Akeem King,ATL,2016,2016-09-26,Injured Reserve,NOR,Foot,3
DeMarcus Van Dyke,ATL,2016,2016-09-26,Injured Reserve,NOR,Concussion,3
De'Vondre Campbell,ATL,2016,2016-10-02,Out,CAR,ankle,4
Devin Fuller,ATL,2016,2016-10-02,Injured Reserve,CAR,Shoulder,4
Akeem King,ATL,2016,2016-10-02,Injured Reserve,CAR,Foot,4
Chris Mayes,ATL,2016,2016-10-02,Injured Reserve,CAR,Foot,4
Tyler Starr,ATL,2016,2016-10-02,Injured Reserve,CAR,Undisclosed,4
DeMarcus Van Dyke,ATL,2016,2016-10-02,Injured Reserve,CAR,Concussion,4
De'Vondre Campbell,ATL,2016,2016-10-09,Out,DEN,ankle,5
Devin Fuller,ATL,2016,2016-10-09,Injured Reserve,DEN,Shoulder,5
Deion Jones,ATL,2016,2016-10-09,Out,DEN,ankle,5
Akeem King,ATL,2016,2016-10-09,Injured Reserve,DEN,Foot,5
Chris Mayes,ATL,2016,2016-10-09,Injured Reserve,DEN,Foot,5
Tyler Starr,ATL,2016,2016-10-09,Injured Reserve,DEN,Undisclosed,5
DeMarcus Van Dyke,ATL,2016,2016-10-09,Injured Reserve,DEN,Concussion,5
Sean Weatherspoon,ATL,2016,2016-10-09,Injured Reserve,DEN,Achilles,5
Devin Fuller,ATL,2016,2016-10-16,Injured Reserve,SEA,Shoulder,6
Akeem King,ATL,2016,2016-10-16,Injured Reserve,SEA,Foot,6
Chris Mayes,ATL,2016,2016-10-16,Injured Reserve,SEA,Foot,6
Tyler Starr,ATL,2016,2016-10-16,Injured Reserve,SEA,Undisclosed,6
DeMarcus Van Dyke,ATL,2016,2016-10-16,Injured Reserve,SEA,Concussion,6
Sean Weatherspoon,ATL,2016,2016-10-16,Injured Reserve,SEA,Achilles,6
Devin Fuller,ATL,2016,2016-10-23,Injured Reserve,SDG,Shoulder,7
Taylor Gabriel,ATL,2016,2016-10-23,Out,SDG,concussion,7
C.J. Goodwin,ATL,2016,2016-10-23,Out,SDG,hamstring,7
Akeem King,ATL,2016,2016-10-23,Injured Reserve,SDG,Foot,7
Chris Mayes,ATL,2016,2016-10-23,Injured Reserve,SDG,Foot,7
Derrick Shelby,ATL,2016,2016-10-23,Injured Reserve,SDG,Achilles,7
Tyler Starr,ATL,2016,2016-10-23,Injured Reserve,SDG,Undisclosed,7
DeMarcus Van Dyke,ATL,2016,2016-10-23,Injured Reserve,SDG,Concussion,7
Sean Weatherspoon,ATL,2016,2016-10-23,Injured Reserve,SDG,Achilles,7
Tevin Coleman,ATL,2016,2016-10-30,Out,GNB,hamstring,8
Dwight Freeney,ATL,2016,2016-10-30,Questionable,GNB,quadriceps,8
Devin Fuller,ATL,2016,2016-10-30,Injured Reserve,GNB,Shoulder,8
Akeem King,ATL,2016,2016-10-30,Injured Reserve,GNB,Foot,8
Chris Mayes,ATL,2016,2016-10-30,Injured Reserve,GNB,Foot,8
Derrick Shelby,ATL,2016,2016-10-30,Injured Reserve,GNB,Achilles,8
Tyler Starr,ATL,2016,2016-10-30,Injured Reserve,GNB,Undisclosed,8
DeMarcus Van Dyke,ATL,2016,2016-10-30,Injured Reserve,GNB,Concussion,8
Sean Weatherspoon,ATL,2016,2016-10-30,Injured Reserve,GNB,Achilles,8
Tevin Coleman,ATL,2016,2016-11-03,Out,TAM,hamstring,9
Dwight Freeney,ATL,2016,2016-11-03,Out,TAM,quadriceps,9
Devin Fuller,ATL,2016,2016-11-03,Injured Reserve,TAM,Shoulder,9
Akeem King,ATL,2016,2016-11-03,Injured Reserve,TAM,Foot,9
Chris Mayes,ATL,2016,2016-11-03,Injured Reserve,TAM,Foot,9
Derrick Shelby,ATL,2016,2016-11-03,Injured Reserve,TAM,Achilles,9
Tyler Starr,ATL,2016,2016-11-03,Injured Reserve,TAM,Undisclosed,9
Jacob Tamme,ATL,2016,2016-11-03,Injured Reserve,TAM,Shoulder,9
DeMarcus Van Dyke,ATL,2016,2016-11-03,Injured Reserve,TAM,Concussion,9
Sean Weatherspoon,ATL,2016,2016-11-03,Injured Reserve,TAM,Achilles,9
Tevin Coleman,ATL,2016,2016-11-13,Out,PHI,hamstring,10
Devin Fuller,ATL,2016,2016-11-13,Injured Reserve,PHI,Shoulder,10
Akeem King,ATL,2016,2016-11-13,Injured Reserve,PHI,Foot,10
Chris Mayes,ATL,2016,2016-11-13,Injured Reserve,PHI,Foot,10
