,Player ,09/10vs. DET,09/17vs. IND,09/25vs. DAL,10/01vs. SFO,10/08vs. PHI,10/15vs. TAM,10/22vs. LAR,11/05vs. SFO,11/09vs. SEA,11/19vs. HOU,11/26vs. JAX,12/03vs. LAR,12/10vs. TEN,12/17vs. WAS,12/24vs. NYG,12/31vs. SEA
26,James O'Shaughnessy,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
27,Cedric Ogbuehi,Out: Hamstring,Out: Hamstring,,,,,,,,,,,,,,
28,Josh Oliver ,Out: Hamstring,Out: Hamstring,Out: Hamstring,Out: Hamstring,Out: Hamstring,Out: Hamstring,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
29,James Onwualu,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
30,Jalen Ramsey,,,,Questionable: Not Injury Related,Out: Back,Questionable: Back,,,,,,,,,,
31,Cam Robinson ,Doubtful: Knees,Questionable: Knee,,,,,,,,,,,,,,
32,Josh Robinson,,,Questionable: Foot,,,,,,,,,,,,,
33,Jake Ryan,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
34,Marcus Simms,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,
35,Geoff Swaim,,,,Questionable: Illness,,,Out: Concussion,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
36,Brandon Thomas,,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
37,Michael Walker,,,,,,,,,,,,,,,,Injured Reserve: 
38,Dede Westbrook,,,,,,,Questionable: Shoulder,Questionable: Shoulder,Questionable: Neck,,,,,,,Questionable: Neck
39,Leonard Wester ,Injured Reserve: ,,,,,,,,,,,,,,,
40,Quincy Williams,,,,,,,,Out: Hamstring,Out: Hamstring,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
,Player ,09/07vs. NWE,09/17vs. PHI,09/24vs. LAC,10/02vs. WAS,10/08vs. HOU,10/15vs. PIT,10/19vs. OAK,10/30vs. DEN,11/05vs. DAL,11/19vs. NYG,11/26vs. BUF,12/03vs. NYJ,12/10vs. OAK,12/16vs. LAC,12/24vs. MIA,12/31vs. DEN,01/06vs. TEN
0,Kenneth Acker,,,,,,,,,,,,,,,,Questionable: Illness,
1,Allen Bailey,,,,,,,,,,Out: Knee,Questionable: Knee,,,,,,
2,Isaiah Battle,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
3,Eric Berry ,,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles
4,Reshard Cliett,Injured Reserve: Finger,Injured Reserve: Finger,Injured Reserve: Finger,Injured Reserve: Finger,Injured Reserve: Finger,Injured Reserve: Finger,Injured Reserve: Finger,Injured Reserve: Finger,Injured Reserve: Finger,Injured Reserve: Finger,Injured Reserve: Finger,Injured Reserve: Finger,Injured Reserve: Finger,Injured Reserve: Finger,Injured Reserve: Finger,Injured Reserve: Finger,Injured Reserve: Finger
5,Chris Conley,,,,,,Out: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles
6,Laurent Duvernay-Tardif,,,,,Out: Knee,Out: Knee,Out: Knee,Questionable: Knee,,,,,,,,,
7,Parker Ehinger,Doubtful: Knee,Doubtful: Knee,Doubtful: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,Injured Reserve: Knee
8,Cameron Erving,,,,,,,,,,,,,,,,Questionable: Illness,
9,Eric Fisher,,,,Questionable: Back,,,,,,,,,,,,,
10,Dee Ford,,,,Out: Back,Out: Back,,,,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back
11,Phillip Gaines,,,,,,,,,,,,,,,,,Injured Reserve: Elbow
12,Antwan Goodley,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
13,Tamba Hali,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,Out: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,,Questionable: Knee,Questionable: Knee
14,Tyreek Hill,,,,,,,,,,,,,,,,Out: NotInjuryRelated,
15,Justin Houston,,,,,,,,Questionable: Knee,Questionable: Knee,,,,,,Questionable: Illness,,
16,Akeem Hunt,,,,,,,,,,,,,,,,Questionable: Shoulder,Injured Reserve: Ankle
17,Jarvis Jenkins,,,,,,,,,,,,,,,,,Questionable: Knee
18,Ashton Lampkin,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
19,Bennie Logan,,,,,,,,,,,,,,,,Doubtful: Knee,
20,Mitch Morse,,,Out: Foot,Out: Foot,Out: Foot,Out: Foot,Out: Foot,,,,,,Injured Reserve: Foot,Out: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
21,Eric Murray,,,,,,,,,,,,Out: Ankle,Out: Ankle,Questionable: Ankle,,,
22,Steven Nelson,Injured Reserve: Abdominal,Injured Reserve: Abdominal,Injured Reserve: Abdominal,Injured Reserve: Abdominal,Injured Reserve: Abdominal,Injured Reserve: Abdominal,Injured Reserve: Abdominal,,,,,,,,,,
23,Dadi Nicolas,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
24,Rakeem Nunez-Roches,,,,,,,,,,,,,,,,Questionable: Illness,Doubtful: Ankle
25,Ron Parker,Questionable: Ankle,Questionable: Ankle,,,,,,,,,,,,,,,
26,Kevin Pierre-Louis,,Questionable: Illness,,Questionable: Groin,,,,,,,,,,Questionable: Quadricep,,Questionable: Shoulder,
27,Reggie Ragland,Doubtful: Knee,Doubtful: Knee,,,,,,,,,,,,,,,
28,Cairo Santos,,,,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,,,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin
29,Terrance Smith,,,,,,,,,,,Out: Concussion,,,,,,
30,Steven Terrell,,,,,,Out: Concussion,,,,,,,,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
31,De'Anthony Thomas,,,,,,,,,,,,,,,,,Injured Reserve: Leg
32,Spencer Ware,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
33,Charcandrick West ,,,,,,,Out: Concussion,,,,,Out: NotInjuryRelated,,,,Questionable: Illness,
34,Albert Wilson,,,,,,,Questionable: Knee,,Out: Hamstring,Out: Hamstring,Questionable: Hamstring,Questionable: Hamstring,,,,,Questionable: Hamstring
,Player ,09/09vs. LAC,09/16vs. PIT,09/23vs. SFO,10/01vs. DEN,10/07vs. JAX,10/14vs. NWE,10/21vs. CIN,10/28vs. DEN,11/04vs. CLE,11/11vs. ARI,11/19vs. LAR,12/02vs. OAK,12/09vs. BAL,12/13vs. LAC,12/23vs. SEA,12/30vs. OAK,01/12vs. IND,01/20vs. NWE
0,Eric Berry ,Doubtful: Heel,Doubtful: Heel,Doubtful: Heel,Doubtful: Heel,Doubtful: Heel,Doubtful: Heel,Doubtful: Heel,Doubtful: Heel,Doubtful: Heel,Doubtful: Heel,Doubtful: Heel,Questionable: Heel,Questionable: Heel,Questionable: Heel,,Questionable: Heel,Questionable: Heel,
1,Jordan Devey,,,,,,,,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral
2,Step Durham,,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
3,Laurent Duvernay-Tardif,,,,,,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin
4,Alex Ellis,,,,,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
5,Cameron Erving,,,,,,,,,,Questionable: Illness,,,,Doubtful: Knee,,,,
6,Dee Ford,,,,,Questionable: Groin,,,,,,,,,,,,,
7,Kendall Fuller,,,,,,,,,,,,,,,Questionable: Thumb,Questionable: Thumb,,
8,Dillon Gordon,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
9,Demetrius Harris,,,,,,,,,,,,,Questionable: Knee,,,,,
10,Tyreek Hill,,,,,,,,,,,,,,Questionable: Heel,,,,
11,Anthony Hitchens,,,,,,,,,Questionable: Rib,Questionable: Rib,,,,,,,,
12,Justin Houston,,,,,,Doubtful: Hamstring,Doubtful: Hamstring,Doubtful: Hamstring,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,
13,Akeem Hunt,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
14,Tejan Koroma,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
15,Tanoh Kpassagnon,,,,,,Questionable: Ankle,Questionable: Ankle,,,,,,,,,,,
16,J.D. Moore,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
17,Mitch Morse,,,,,,,Out: Concussion,Out: Concussion,Out: Concussion,Out: Concussion,Out: Concussion,,,,,,,
18,Eric Murray,,,,,,Out: Ankle,Questionable: Ankle,,,,,,,,,,,
19,Ben Niemann,,Out: Hamstring,Doubtful: Hamstring,,,,,,,,,,,,,,,
20,Dorian O'Daniel,,,,,,,,,,,,,,,,,Doubtful: Calf,Out: Ankle
21,Byron Pringle,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
22,Keith Reaser,,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep
23,Terrance Smith,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
24,Daniel Sorensen,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Questionable: Knee,,,,,,,,
25,De'Anthony Thomas,,,,,,Out: Tibia,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg
26,Spencer Ware,,,Questionable: Knee,,,,,,,,,,,Doubtful: Shoulder,Doubtful: Hamstring,Questionable: Hamstring,Questionable: Hamstring,
27,Sammy Watkins,,,,,Questionable: Hamstring,,,,,Questionable: Foot,Questionable: Foot,Out: Foot,Doubtful: Foot,Out: Foot,Out: Heel,Out: Foot,Questionable: Foot,
28,Armani Watts,,,,,Questionable: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin
29,Darrel Williams,,,,,,,,,,,,,,,,Questionable: Hamstring,,
30,Frank Zombo,,,,,,,,,Out: Hamstring,Questionable: Hamstring,,,,,,,,
,Player ,09/08vs. JAX,09/15vs. OAK,09/22vs. BAL,09/29vs. DET,10/06vs. IND,10/13vs. HOU,10/17vs. DEN,10/27vs. GNB,11/03vs. MIN,11/10vs. TEN,11/18vs. LAC,12/01vs. OAK,12/08vs. NWE,12/15vs. DEN,12/22vs. CHI,12/29vs. LAC,01/12vs. HOU,01/19vs. TEN,02/02vs. SFO
0,Blake Bell,,,,,,,,,,,Out: Ankle,,,,,,,,
1,Bashaud Breeland,,,,,,,Questionable: Not Injury Related,,,,,,,,,,,,
2,Morris Claiborne,,,,,,,,,,,,,Out: Shoulder,Out: Shoulder,Out: Shoulder,Out: Shoulder,Out: Not Injury Related,,
3,Frank Clark ,,,,,,,,Out: Neck,Questionable: Neck,Questionable: Neck,,,Questionable: Shoulder,Questionable: Illness,,,,,
4,Felton Davis,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
5,Gehrig Dieter ,Injured Reserve: ,,,,,,,,,,,,,,,,,,
6,Laurent Duvernay-Tardif,,,,,,,,,Out: Ankle,Questionable: Ankle,,,,,,,,,
7,Cameron Erving,,,,,,,,,,,,,,,,Questionable: Illness,,,
8,Rashad Fenton,,,,,,,,,,,,,Out: Hamstring,Out: Hamstring,,,,,
9,Eric Fisher,,Questionable: Groin,Out: Groin,Out: Groin,Out: Groin,Out: Groin,Out: Groin,Out: Groin,Out: Groin,Out: Groin,,,,,,,,,
10,Kendall Fuller,,,,,,,Out: Thumb,Out: Thumb,Questionable: Thumb,Questionable: Thumb,Questionable: Thumb,,,,,,,,
11,Davon Grayson,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,
12,Darius Harris,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
13,Chad Henne,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,: ,,,,,,,,,,
14,Tyreek Hill,,Out: Shoulder,Out: Shoulder,Out: Shoulder,Out: Shoulder,Questionable: Shoulder,,,,,,,,,,,,,
15,Anthony Hitchens,,,,,,Questionable: Groin,,,,,,,,,,,,,
16,Chris Jones,,,,,,Out: Groin,Out: Groin,Out: Groin,Questionable: Groin,,,,,,,,Questionable: Calf,Questionable: Calf,
17,Travis Kelce,,,,,,,,,,,,,,,,,Questionable: Knee,,
18,Marcus Kemp,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
19,Anthony Lanier ,,,,,,,,,,,,,,,,,: ,: ,: 
20,Darron Lee ,,,,,,,,Questionable: Illness,,,,,,,,,,,
21,John Lovett,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
22,Jordan Lucas,Questionable: Back,,,,,,,,,,,,Questionable: Illness,,,,,,
23,Alize Mack,,,,,,,,,,,,,,,,,: ,: ,: 
24,Patrick Mahomes ,,,,,,,,Out: Knee,Questionable: Knee,,,,,,,,,,
25,Marcus Marshall,,,,,,,,,,,,,,,,,: ,: ,: 
26,LeSean McCoy,,,Questionable: Ankle,,,,,,,,,,,,,,,Questionable: Illness,
27,Matt Moore,,,,,,,,,,,,,,,,,,Questionable: Illness,
28,Dorian O'Daniel,,,,,Out: Hamstring,Out: Hamstring,,,,,,,,,,,,,
29,Emmanuel Ogbah,,,,,,,,,,,Out: Pectoral,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
30,Alex Okafor,,,,,Questionable: Hip,,,,Out: Ankle,Out: Ankle,Out: Ankle,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
31,Martinas Rankin,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
32,Keith Reaser,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
33,Greg Senat,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
34,Breeland Speaks,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
35,Juan Thornhill,,,,,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
36,Tim Ward,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
37,Spencer Ware,,,,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
38,Sammy Watkins,,,,,Questionable: Shoulder,Doubtful: Hamstring,Out: Hamstring,,,,,,,,,,,,
39,David Wells,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
40,Damien Williams ,,,Out: Knee,Out: Knee,Questionable: Knee,,,,,,Questionable: Not Injury Related,Out: Rib,Out: Rib,Questionable: Rib,,,,,
41,Darrel Williams,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
42,Xavier Williams,Questionable: Illness,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,: ,: ,Questionable: Ankle,,,
43,Andrew Wylie,,,,,,Doubtful: Ankle,Out: Ankle,Out: Ankle,,,,,,,Out: Illness,Questionable: Ankle,,,
,Player ,09/11vs. DEN,09/17vs. MIA,09/24vs. KAN,10/01vs. PHI,10/08vs. NYG,10/15vs. OAK,10/22vs. DEN,10/29vs. NWE,11/12vs. JAX,11/19vs. BUF,11/23vs. DAL,12/03vs. CLE,12/10vs. WAS,12/16vs. KAN,12/24vs. NYJ,12/31vs. OAK
0,Keenan Allen,,,,,,,Questionable: Shoulder,,,,,,,,,
1,Jeremiah Attaochu,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,,,,,,,
2,Joe Barksdale,,,Questionable: Foot,Questionable: Foot,Questionable: Foot,Questionable: Foot,Questionable: Foot,Doubtful: Foot,Questionable: Foot,Out: Foot,Questionable: Foot,,,,Questionable: Hip,
3,Travis Benjamin,,,,,,,,,,,Questionable: Abdomen,,,,,
4,Tre Boston,Questionable: Calf,,,,,,,,,,,,,,,
5,Jatavis Brown,,,,,Questionable: Ankle,Questionable: Ankle,,,,,,,,,,
