,Player ,09/10vs. DET,09/17vs. IND,09/25vs. DAL,10/01vs. SFO,10/08vs. PHI,10/15vs. TAM,10/22vs. LAR,11/05vs. SFO,11/09vs. SEA,11/19vs. HOU,11/26vs. JAX,12/03vs. LAR,12/10vs. TEN,12/17vs. WAS,12/24vs. NYG,12/31vs. SEA
14,Jermaine Grace,,,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
15,Rasheem Green,,,,Out: Ankle,Out: Ankle,Out: Ankle,Questionable: Ankle,,,,,,,,,,
16,T.J. Green,,,,,,,,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal
17,Shaquill Griffin ,,Questionable: Thigh,,,,,,,,,,,,,Questionable: Hip,,
18,Delano Hill,,Doubtful: Hamstring,,Questionable: Hamstring,,,,,,Questionable: Quadricep,,,,,,,Injured Reserve: Hip
19,Khalid Hill,,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
20,Germain Ifedi,,,,,,,,,,,,,,,Questionable: Groin,,
21,Dontae Johnson,Questionable: Hip,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
22,Jamarco Jones,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
23,Nazair Jones,,,,,,,,,Questionable: Illness,,,,,,,,
24,Dion Jordan,,,,Questionable: Hip,,Questionable: Knee,,,,Questionable: Knee,,,,,,Questionable: Knee,
25,Mychal Kendricks,,,Questionable: Ankle,,,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
26,Shalom Luani,,,,,,,,,,,,Doubtful: Quadricep,,,,,
27,Tre Madden,,,,,,,,,,,,Doubtful: Chest,Questionable: Chest,,,,
28,Byron Maxwell,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip
29,Bradley McDougald,,,,,,,,Questionable: Knee,Questionable: Knee,,,,,Questionable: Knee,Questionable: Knee,Questionable: Knee,
30,Malik McDowell ,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head
31,J.D. McKissic,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,,,,,,
32,T.J. Mutcherson,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
33,Tyler Ott,,,,,,,,,,,,,,,Questionable: Illness,,
