"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"Samaje Perine","RB","WAS","0","26","30","12","bye","25","0","0","6","20","48","50","34","40","32","34","2","359","22.4"
"Greg Olsen","TE","CAR","67","25","0","0","0","0","0","0","0","0","bye","24","0","59","69","57","57","358","51.1"
"LeGarrette Blount","RB","PHI","23","6","22","26","26","30","25","35","16","bye","30","37","14","16","17","12","19","354","22.1"
"Brock Osweiler","QB","DEN","0","0","0","0","bye","7","0","0","65","63","82","0","0","0","61","74","0","352","58.7"
"Jimmy Garoppolo","QB","Multi","0","0","0","0","0","0","0","0","0","0","0","3","75","73","70","66","64","351","58.5"
"Ryan Griffin","TE","HOU","10","0","61","81","52","58","bye","65","22","0","0","0","0","0","0","0","0","349","49.9"
"James Develin","RB","NE","19","24","15","16","13","25","24","29","bye","45","21","20","17","11","17","19","30","345","21.6"
"Geronimo Allison","WR","GB","0","61","47","16","13","8","5","bye","17","12","8","8","9","19","45","53","22","343","22.9"
"Blaine Gabbert","QB","ARI","0","0","0","0","0","0","0","bye","0","0","58","73","64","65","82","0","0","342","68.4"
"Chad Hansen","WR","NYJ","12","2","0","1","2","11","6","9","32","48","bye","28","48","35","34","26","47","341","22.7"
"Andre Holmes","WR","BUF","39","34","22","27","31","bye","27","21","35","9","39","13","13","15","14","0","0","339","24.2"
"Lee Smith","TE","OAK","29","26","12","13","12","13","18","19","30","0","10","28","26","9","26","42","25","338","21.1"
"Chris Thompson","RB","WAS","30","29","28","26","bye","45","37","47","33","45","18","0","0","0","0","0","0","338","33.8"
"A.J. Derby","TE","Multi","29","29","29","29","0","52","32","38","33","14","0","0","0","0","0","28","23","336","30.5"
"Shane Vereen","RB","NYG","31","17","19","22","23","12","16","bye","19","30","23","15","22","24","30","6","15","324","20.3"
"Wayne Gallman","RB","NYG","0","0","0","31","26","15","22","bye","17","10","16","22","14","37","36","51","26","323","24.8"
"Jeff Heuerman","TE","DEN","17","23","15","17","bye","17","15","21","25","32","0","0","14","25","25","37","38","321","22.9"
"Drew Stanton","QB","ARI","0","0","0","0","0","0","24","bye","77","80","0","0","0","0","0","68","71","320","64.0"
"Andre Ellington","RB","Multi","20","30","49","46","31","13","0","0","14","43","0","0","47","16","0","5","1","315","26.3"
"Maxx Williams","TE","BAL","17","28","0","0","0","9","0","0","33","bye","34","28","30","33","35","38","30","315","28.6"
"Zach Miller","TE","CHI","40","48","32","48","42","55","25","24","bye","0","0","0","0","0","0","0","0","314","39.3"
"Orleans Darkwa","RB","NYG","8","11","16","0","20","27","21","bye","32","26","30","19","22","19","22","11","30","314","20.9"
"Matt Breida","RB","SF","13","9","16","26","35","17","15","21","17","17","bye","7","24","32","19","22","20","310","19.4"
"Marlon Mack","RB","IND","17","11","0","0","17","14","32","39","27","25","bye","19","30","17","24","15","22","309","22.1"
"Tyler Boyd","WR","CIN","42","0","30","39","5","bye","0","0","0","0","22","15","15","30","0","49","60","307","30.7"
"Richard Rodgers","TE","GB","5","10","10","10","6","11","6","bye","33","32","37","37","29","40","37","2","0","305","20.3"
"Adrian Peterson","RB","Multi","9","15","14","6","0","48","27","0","59","36","37","50","0","0","0","0","0","301","30.1"
"Niles Paul","TE","WAS","5","36","33","24","bye","16","9","4","0","0","34","32","17","16","19","37","18","300","21.4"
"Trey Burton","TE","PHI","14","14","19","9","16","13","16","21","47","bye","13","0","21","48","11","10","28","300","20.0"
"Ryan Fitzpatrick","QB","TB","bye","6","0","0","0","55","0","0","30","71","66","71","0","0","0","0","0","299","49.8"
"Randall Telfer","TE","CLE","18","19","19","11","33","17","24","18","bye","20","15","21","12","28","11","13","20","299","18.7"
"Chris Ivory","RB","JAC","25","27","25","34","15","28","38","bye","39","8","6","1","9","12","30","0","0","297","21.2"
"J.D. McKissic","RB","SEA","0","0","0","10","18","bye","23","16","30","20","50","31","9","31","35","2","22","297","22.8"
"Gerald Everett","TE","LAR","29","16","11","21","26","18","18","bye","15","20","19","24","18","12","6","11","33","297","18.6"
"Brandon Williams","TE","IND","19","13","16","17","50","13","10","21","21","21","bye","24","17","45","8","0","0","295","21.1"
"Chris Conley","WR","KC","64","46","43","71","68","0","0","0","0","bye","0","0","0","0","0","0","0","292","58.4"
"Devontae Booker","RB","DEN","0","0","0","8","bye","23","11","25","22","23","48","26","11","27","23","30","14","291","22.4"
"Chris Manhertz","TE","CAR","12","14","15","17","29","20","27","26","5","26","bye","28","20","21","15","6","8","289","18.1"
"Doug Martin","RB","TB","bye","0","0","0","26","37","43","39","18","36","37","13","0","19","0","15","4","287","26.1"
"Mack Hollins","WR","PHI","5","17","8","9","14","9","8","18","30","bye","10","38","17","38","13","9","44","287","17.9"
"Kendrick Bourne","WR","SF","3","0","0","0","0","0","23","24","40","29","bye","33","25","31","31","26","18","283","25.7"
"Josh Reynolds","WR","LAR","17","2","6","7","11","6","0","bye","17","10","8","62","42","26","16","2","47","279","17.4"
"Jeremy Kerley","WR","NYJ","0","45","34","46","36","47","29","35","6","0","bye","0","0","0","0","0","0","278","34.8"
"Nick Vannett","TE","SEA","8","13","6","18","20","bye","33","18","15","15","20","40","33","13","6","20","0","278","18.5"
"James Hanna","TE","DAL","21","9","14","30","20","bye","23","14","10","10","32","7","19","20","12","10","24","275","17.2"
"Ty Montgomery","RB","GB","74","65","66","5","0","20","7","bye","24","14","0","0","0","0","0","0","0","275","34.4"
"Vance McDonald","TE","PIT","18","0","16","30","15","32","29","0","bye","30","0","0","0","35","0","29","37","271","27.1"
"Coby Fleener","TE","NO","32","32","14","44","bye","18","20","16","22","17","36","18","0","0","0","0","0","269","24.5"
"Elijah McGuire","RB","NYJ","0","12","12","19","36","25","7","3","20","36","bye","18","19","1","21","10","29","268","16.8"
"Patrick DiMarco","RB","BUF","20","13","15","30","16","bye","16","28","9","14","8","17","5","16","23","13","22","265","16.6"
"Mike Glennon","QB","CHI","67","64","65","68","0","0","0","0","bye","0","0","0","0","0","0","0","0","264","66.0"
"Michael Campanaro","WR","BAL","13","8","15","20","14","33","32","0","0","bye","6","0","8","18","31","22","42","262","20.2"
"Brice Butler","WR","DAL","35","22","7","22","22","bye","23","18","27","22","18","16","10","0","0","0","19","261","20.1"
"Willie Snead IV","WR","NO","0","0","0","0","bye","21","0","4","18","36","14","19","23","22","37","38","27","259","23.5"
"Josh Gordon","WR","CLE","0","0","0","0","0","0","0","0","bye","0","0","0","48","53","54","49","54","258","51.6"
"Jordan Taylor","WR","DEN","0","0","0","7","bye","32","44","45","0","0","2","4","0","4","16","53","51","258","25.8"
"Brandon Marshall","WR","NYG","50","48","66","66","26","0","0","bye","0","0","0","0","0","0","0","0","0","256","51.2"
"Corey Clement","RB","PHI","0","1","7","19","23","10","12","19","28","bye","19","15","28","27","10","27","11","256","16.0"
"Jarius Wright","WR","MIN","15","12","18","4","2","29","40","13","bye","14","11","17","14","26","15","12","12","254","15.9"
"Peyton Barber","RB","TB","bye","16","0","4","0","0","3","3","23","7","3","10","52","31","32","25","45","254","15.9"
"Kaelin Clay","WR","Multi","0","5","15","13","41","0","0","6","8","22","0","49","25","3","5","16","42","250","19.2"
"Taywan Taylor","WR","TEN","6","12","26","24","33","30","32","bye","7","14","18","9","19","6","4","2","5","247","15.4"
"Josh Malone","WR","CIN","0","0","0","0","0","bye","13","19","31","30","18","27","33","26","23","16","11","247","22.5"
"Daniel Brown","TE","CHI","0","0","0","0","0","0","0","16","bye","39","32","30","11","19","35","38","22","242","17.3"
"Kerwynn Williams","RB","ARI","9","18","1","2","5","4","14","bye","4","1","9","5","31","38","30","33","36","240","15.0"
"Adam Shaheen","TE","CHI","8","5","15","8","11","19","19","19","bye","32","46","17","9","32","0","0","0","240","18.5"
"James O'Shaughnessy","TE","JAC","1","12","22","17","18","18","9","bye","5","9","18","8","4","16","34","34","11","236","14.8"
"Aaron Jones","RB","GB","0","0","0","30","53","43","44","bye","20","6","0","0","2","8","26","4","0","236","19.7"
"Jordan Reed","TE","WAS","55","40","0","14","bye","54","50","21","0","0","0","0","0","0","0","0","0","234","39.0"
"Tre McBride","WR","Multi","0","2","0","0","43","58","20","42","0","7","19","43","0","0","0","0","0","234","29.3"
"Mike Williams","WR","LAC","0","0","0","0","0","11","14","22","bye","27","41","1","0","35","30","25","28","234","23.4"
"ArDarius Stewart","WR","NYJ","38","9","5","6","11","14","10","0","18","10","bye","9","37","15","14","14","22","232","15.5"
"Rod Smith","RB","DAL","2","4","3","1","3","bye","13","3","1","39","31","33","27","29","35","7","0","231","15.4"
"Johnny Holton","WR","OAK","1","4","7","12","4","3","6","13","6","0","14","46","51","28","12","11","12","230","14.4"
"C.J. Fiedorowicz","TE","HOU","24","0","0","0","0","0","bye","0","0","63","60","65","17","0","0","0","0","229","45.8"
"Tavon Austin","WR","LAR","7","9","15","15","16","9","19","bye","29","11","2","27","11","14","14","6","24","228","14.3"
"T.J. Yeldon","RB","JAC","0","0","0","0","0","0","23","bye","35","31","20","34","5","4","28","38","8","226","22.6"
"Curtis Samuel","WR","CAR","12","13","36","0","15","23","19","18","49","40","bye","0","0","0","0","0","0","225","25.0"
"Louis Murphy","WR","SF","0","0","0","0","0","0","0","0","0","27","bye","33","40","29","33","31","30","223","31.9"
"Charcandrick West","RB","KC","23","11","14","20","21","3","0","12","23","bye","20","16","0","20","17","23","0","223","17.2"
"Michael Roberts","TE","DET","7","17","9","22","5","5","bye","19","21","14","16","12","20","9","26","19","0","221","14.7"
"DeAndre Washington","RB","OAK","16","13","16","6","0","5","25","32","9","0","24","14","14","14","9","16","7","220","14.7"
"Sean McGrath","TE","LAC","0","5","10","7","20","25","23","5","bye","18","15","7","5","17","12","28","22","219","14.6"
"Thomas Rawls","RB","SEA","0","16","1","0","32","bye","29","41","42","29","0","1","3","1","0","10","13","218","18.2"
"Bryce Petty","QB","NYJ","0","0","0","0","0","0","0","0","0","0","bye","0","0","21","72","64","59","216","54.0"
"Jalen Richard","RB","OAK","14","17","6","6","25","17","26","26","12","0","11","5","13","15","8","9","6","216","13.5"
"Tanner McEvoy","WR","SEA","9","15","24","13","14","bye","16","20","17","18","13","9","11","17","11","6","0","213","14.2"
"Odell Beckham Jr.","WR","NYG","0","34","55","68","54","0","0","bye","0","0","0","0","0","0","0","0","0","211","52.8"
"C.J. Uzomah","TE","CIN","0","0","17","21","17","bye","13","10","11","8","18","17","9","14","23","21","12","211","15.1"
"Nick Foles","QB","PHI","0","0","0","0","0","0","0","9","14","bye","0","11","0","23","67","67","19","210","30.0"
"Jamaal Charles","RB","DEN","21","20","21","11","bye","20","15","13","20","16","4","15","23","5","2","0","0","206","14.7"
"Phillip Supernaw","TE","TEN","9","25","13","3","14","18","18","bye","16","14","15","22","15","17","0","0","7","206","12.9"
"Pharoh Cooper","WR","LAR","22","4","9","9","12","4","11","bye","13","10","5","9","10","7","15","1","64","205","12.8"
"Alfred Morris","RB","DAL","8","1","0","3","5","bye","9","6","1","21","24","21","37","33","27","0","8","204","14.6"
"Matt Moore","QB","MIA","bye","0","0","0","0","0","36","66","0","0","40","61","0","0","0","0","0","203","50.8"
"Mike Tolbert","RB","BUF","23","13","21","15","16","bye","10","19","20","14","0","0","0","13","0","15","24","203","16.9"
"C.J. Ham","RB","MIN","9","5","22","7","6","6","12","17","bye","12","19","15","25","8","20","13","7","203","12.7"
"T.J. Yates","QB","Multi","0","0","0","0","0","0","0","0","0","0","0","0","0","42","57","46","55","200","50.0"
"De'Anthony Thomas","WR","KC","8","4","7","3","11","35","5","14","39","bye","28","3","3","8","8","15","7","198","12.4"
"Darrell Daniels","TE","IND","13","15","17","22","49","6","10","5","5","12","bye","0","0","0","0","8","34","196","16.3"
"Rex Burkhead","RB","NE","10","8","0","0","0","0","13","27","bye","36","19","28","22","17","15","0","0","195","19.5"
"Austin Ekeler","RB","LAC","3","0","6","3","12","7","18","17","bye","23","32","26","20","18","10","0","0","195","12.2"
"Damien Williams","RB","MIA","bye","3","10","11","10","18","22","8","30","31","27","24","0","0","0","0","0","194","17.6"
"Amara Darboh","WR","SEA","5","14","11","16","18","bye","21","10","14","25","12","8","8","4","10","7","8","191","11.9"
"Markus Wheaton","WR","CHI","0","0","39","38","46","0","0","0","bye","2","9","5","1","7","29","3","8","187","17.0"
"Patrick Ricard","RB","BAL","13","5","11","7","15","23","3","18","6","bye","7","13","19","15","20","3","9","187","11.7"
"Damiere Byrd","WR","CAR","19","23","13","4","0","0","0","0","0","0","bye","0","23","38","47","19","0","186","23.3"
"Derek Carrier","TE","LAR","13","9","24","16","6","13","22","bye","21","0","0","12","6","3","15","5","20","185","13.2"
"Alex Erickson","WR","CIN","7","37","13","8","31","bye","9","13","13","7","11","9","11","3","13","0","0","185","11.6"
"Anthony Sherman","RB","KC","12","1","9","12","25","9","9","8","3","bye","13","6","3","8","3","8","52","181","11.3"
"Roosevelt Nix","RB","PIT","10","11","4","13","13","17","22","18","bye","9","5","5","5","10","6","16","17","181","11.3"
"Aaron Ripkowski","RB","GB","22","8","3","13","7","13","14","bye","3","21","10","12","12","11","9","12","10","180","11.3"
"Michael Burton","RB","CHI","6","6","14","13","6","15","11","19","bye","7","12","2","9","19","11","18","11","179","11.2"
"Benny Cunningham","RB","CHI","4","0","5","16","14","1","0","3","bye","28","17","23","7","11","23","13","10","175","12.5"
"Mike Davis","RB","SEA","0","0","0","0","0","bye","0","0","0","0","16","0","45","30","19","43","22","175","29.2"
"Luke Stocker","TE","Multi","0","16","6","14","6","10","8","17","20","19","0","0","0","0","10","14","34","174","14.5"
"Wendell Smallwood","RB","PHI","16","14","43","35","0","0","24","13","6","bye","0","0","0","0","0","0","22","173","21.6"
"Jerell Adams","TE","NYG","3","1","0","6","14","11","2","bye","8","7","11","6","7","5","19","27","46","173","10.8"
"Geoff Swaim","TE","DAL","9","0","7","4","9","bye","22","17","10","0","10","7","10","22","12","20","13","172","11.5"
"Mike Gillislee","RB","NE","24","30","21","18","24","13","13","13","bye","0","0","0","0","0","0","15","0","171","19.0"
"Xavier Grimble","TE","PIT","1","16","8","2","0","0","28","26","bye","4","9","20","18","6","12","13","6","169","11.3"
"Dalvin Cook","RB","MIN","51","37","54","27","0","0","0","0","bye","0","0","0","0","0","0","0","0","169","42.3"
"Jacquizz Rodgers","RB","TB","bye","34","25","38","13","6","2","6","0","6","2","25","5","0","2","2","2","168","10.5"
"Zach Line","RB","NO","0","0","0","0","bye","12","18","8","16","19","10","7","17","11","21","18","11","168","14.0"
"Antony Auclair","TE","TB","bye","0","0","0","1","0","0","0","0","0","21","16","14","11","23","33","49","168","21.0"
"Andy Janovich","RB","DEN","16","7","8","11","bye","7","5","7","9","5","9","13","12","12","18","13","11","163","10.2"
"Brenton Bersin","WR","CAR","0","0","0","0","0","0","0","0","9","10","bye","16","10","17","17","48","35","162","20.3"
"Bryce Treggs","WR","Multi","0","0","0","0","42","28","11","52","0","24","0","5","0","0","0","0","0","162","27.0"
"Noah Brown","WR","DAL","0","5","8","7","0","bye","19","5","0","8","9","7","16","24","18","13","22","161","12.4"
"Danny Woodhead","RB","BAL","6","0","0","0","0","0","0","0","0","bye","13","22","20","24","23","19","30","157","19.6"
"Alfred Blue","RB","HOU","0","0","0","4","0","0","bye","11","0","13","0","21","9","0","29","31","38","156","14.2"
"Logan Thomas","TE","BUF","6","1","11","9","20","bye","29","21","21","9","0","0","22","3","3","0","0","155","12.9"
"Chris Carson","RB","SEA","26","51","41","35","0","bye","0","0","0","0","0","0","0","0","0","0","0","153","38.3"
"Michael Floyd","WR","MIN","0","0","0","0","32","38","0","6","bye","2","16","5","6","5","14","7","21","152","13.8"
"Malcolm Brown","RB","LAR","11","5","0","7","9","12","22","bye","18","0","0","0","0","3","16","5","41","149","13.5"
"Brandon Tate","WR","BUF","2","0","6","0","34","bye","2","5","0","3","47","2","0","3","4","20","20","148","11.4"
"Jeff Cumberland","TE","LAC","0","0","0","0","0","0","0","0","bye","0","28","15","24","30","13","20","18","148","21.1"
"Jay Prosch","RB","HOU","0","28","7","4","2","6","bye","9","5","16","3","6","12","11","7","24","8","148","9.3"
"D'Onta Foreman","RB","HOU","2","17","17","24","9","23","bye","1","20","16","18","0","0","0","0","0","0","147","14.7"
"Blake Bell","TE","MIN","2","2","10","12","3","12","12","12","bye","6","11","5","28","31","0","0","0","146","11.2"
"Marcus Johnson","WR","PHI","7","0","7","9","14","6","10","21","20","bye","13","0","0","0","0","0","39","146","14.6"
"Logan Paulsen","TE","SF","3","5","27","1","3","2","11","0","0","12","bye","6","8","6","9","28","23","144","10.3"
"Leonte Carroo","WR","MIA","bye","2","1","3","4","24","49","50","0","0","0","5","4","1","0","1","0","144","10.3"
"Derek Watt","RB","LAC","7","8","12","6","6","12","13","5","bye","13","15","7","7","10","3","6","12","142","8.9"
"D.J. Foster","RB","Multi","0","0","0","0","0","0","0","0","0","0","9","18","28","21","31","15","16","138","19.7"
"Eddie Lacy","RB","SEA","7","0","0","23","19","bye","22","12","11","0","6","34","3","0","0","0","0","137","15.2"
"Robert Kelley","RB","WAS","33","16","0","12","bye","0","27","12","26","10","0","0","0","0","0","0","0","136","19.4"
"Kevin Hogan","QB","CLE","0","19","0","14","34","67","0","0","bye","0","0","0","0","0","0","0","0","134","33.5"
"Kasen Williams","WR","CLE","12","0","20","17","34","39","6","5","bye","0","0","0","0","0","0","0","0","133","19.0"
"Jakeem Grant","WR","MIA","bye","1","3","5","33","6","9","15","0","0","0","3","2","9","5","11","31","133","8.3"
"Dan Vitale","RB","CLE","4","6","10","5","14","11","10","8","bye","13","7","11","4","17","8","5","0","133","8.9"
"Ricky Seals-Jones","TE","ARI","0","0","0","0","1","0","0","bye","0","0","8","17","15","18","31","37","6","133","13.3"
"Isaiah McKenzie","WR","DEN","0","30","9","6","bye","12","0","12","14","1","0","0","5","0","0","15","27","131","11.9"
"Clive Walford","TE","OAK","5","12","4","9","14","7","9","6","11","0","14","6","25","8","0","0","0","130","10.0"
"Keith Smith","RB","DAL","2","2","5","7","13","bye","13","11","11","6","1","3","7","9","10","15","13","128","8.0"
"MarQueis Gray","TE","MIA","bye","3","2","3","18","12","7","4","2","2","6","7","17","15","12","7","10","127","7.9"
"Jeremy Sprinkle","TE","WAS","0","0","7","7","bye","0","0","0","25","23","15","18","2","2","3","14","11","127","11.5"
"Robert Turbin","RB","IND","14","28","21","19","21","21","0","0","0","0","bye","0","0","0","0","0","0","124","20.7"
"Paul Perkins","RB","NYG","18","28","35","27","0","0","0","bye","0","0","0","1","4","0","0","3","7","123","11.2"
"Jared Abbrederis","WR","DET","0","0","6","14","14","47","bye","13","18","5","0","0","0","0","0","0","0","117","16.7"
"Alan Cross","TE","TB","bye","16","4","7","0","0","0","0","0","0","0","0","14","17","20","19","20","117","14.6"
"Travaris Cadet","RB","Multi","0","0","0","5","0","8","0","0","0","0","23","21","28","4","22","5","0","116","12.9"
"Ross Travis","TE","Multi","8","6","4","4","14","6","13","10","5","0","19","1","0","7","10","5","2","114","7.6"
"Tommylee Lewis","WR","NO","11","14","16","15","bye","0","12","10","0","5","3","2","1","6","14","1","2","112","7.5"
"Hunter Sharp","WR","Multi","0","0","0","0","0","0","29","0","0","0","0","0","0","0","0","14","65","108","36.0"
"Chris Johnson","RB","ARI","0","17","31","35","24","0","0","bye","0","0","0","0","0","0","0","0","0","107","26.8"
"Ryan Hewitt","RB","CIN","7","9","4","7","0","bye","0","0","6","5","14","14","13","4","9","10","4","106","8.2"
"Branden Oliver","RB","LAC","11","7","33","12","0","0","0","5","bye","0","0","0","0","0","2","20","16","106","13.3"
"Tyler Eifert","TE","CIN","54","50","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","0","104","52.0"
"Trevor Davis","WR","GB","6","17","0","3","0","0","0","bye","6","7","1","3","1","3","1","16","39","103","6.4"
"Jaydon Mickens","WR","JAC","0","0","0","0","0","0","4","bye","3","10","9","7","0","1","29","39","1","103","10.3"
"Kapri Bibbs","RB","WAS","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","15","33","54","102","34.0"
"Will Tye","TE","Multi","37","43","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102","34.0"
"Sean Mannion","QB","LAR","5","0","0","0","0","0","4","bye","13","0","0","0","0","0","14","0","65","101","20.2"
"Neal Sterling","TE","Multi","0","7","7","9","0","0","0","0","0","5","0","4","7","8","10","11","32","100","9.1"
"Mike Thomas","WR","LAR","0","0","0","0","0","2","0","bye","0","0","8","7","1","5","15","2","60","100","12.5"
"Chris Thompson","WR","HOU","0","0","0","10","3","0","bye","1","0","2","0","1","50","0","3","0","29","99","7.6"
"Paxton Lynch","QB","DEN","0","0","0","0","bye","0","0","0","0","0","0","33","0","0","0","0","65","98","49.0"
"Nathan Peterman","QB","BUF","0","0","0","0","0","bye","0","0","0","11","25","0","22","40","0","0","0","98","24.5"
"Chad Williams","WR","ARI","0","10","13","0","0","0","0","bye","0","0","0","29","23","14","9","0","0","98","16.3"
"Elijhaa Penny","RB","ARI","1","7","2","4","3","4","0","bye","3","0","3","2","5","8","21","17","16","96","6.0"
"Jalston Fowler","RB","Multi","3","11","19","10","6","14","11","0","9","6","5","0","0","0","0","0","0","94","9.4"
"Sammie Coates","WR","CLE","0","26","0","0","11","11","6","3","bye","17","0","0","0","0","6","4","8","92","7.7"
"Ryan Switzer","WR","DAL","2","6","2","8","3","bye","11","12","1","6","4","2","0","2","4","3","26","92","5.8"
"Sam Bradford","QB","MIN","65","0","0","0","26","0","0","0","bye","0","0","0","0","0","0","0","0","91","45.5"
"Darren Sproles","RB","PHI","34","50","5","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","89","29.7"
"Darrius Heyward-Bey","WR","PIT","1","2","2","7","2","5","5","5","bye","0","4","8","1","0","31","13","3","89","5.6"
"DeAndrew White","WR","HOU","0","0","0","0","0","0","bye","0","0","0","0","0","0","48","41","0","0","89","44.5"
"Tion Green","RB","DET","0","0","0","0","0","0","bye","0","0","0","0","0","21","13","23","13","19","89","17.8"
"Tyler Ervin","RB","HOU","50","27","8","1","0","0","bye","0","0","0","0","0","0","0","0","0","0","86","21.5"
"Jacob Hollister","TE","NE","0","16","7","3","8","1","1","4","bye","2","3","8","7","2","3","13","8","86","5.7"
"Jehu Chesson","WR","KC","0","0","0","0","0","0","0","0","4","bye","7","1","0","2","0","3","66","83","6.9"
"Jamize Olawale","RB","OAK","0","0","7","17","3","0","11","5","0","0","14","5","13","0","1","3","3","82","6.8"
"Jamal Agnew","WR","DET","1","0","0","0","0","0","bye","1","3","2","4","0","0","0","2","11","57","81","6.2"
"Arrelious Benn","WR","JAC","7","9","16","17","11","8","9","bye","2","1","0","0","0","0","0","0","0","80","8.9"
"Matt Cassel","QB","TEN","0","0","0","18","59","0","0","bye","0","0","0","0","0","0","0","0","0","77","38.5"
"Brian Quick","WR","WAS","6","0","1","0","bye","4","0","0","23","0","0","0","0","23","2","14","4","77","7.0"
"Kenjon Barner","RB","PHI","0","0","0","0","17","22","4","4","2","bye","2","4","2","6","6","1","7","77","5.9"
"Jeremy Hill","RB","CIN","10","15","14","12","11","bye","8","7","0","0","0","0","0","0","0","0","0","77","11.0"
"EJ Manuel","QB","OAK","0","0","0","20","56","0","0","0","0","0","0","0","0","0","0","0","0","76","38.0"
"Marvin Hall","WR","ATL","0","0","0","0","bye","12","0","6","0","17","8","0","7","10","9","7","0","76","9.5"
"Maurice Harris","WR","WAS","0","0","0","0","bye","0","0","0","0","41","9","12","5","0","3","0","6","76","12.7"
"Brittan Golden","WR","ARI","0","20","27","3","2","5","10","bye","2","0","4","0","0","1","0","0","0","74","5.7"
"Terron Ward","RB","ATL","0","0","0","0","bye","0","0","0","0","17","18","20","0","0","19","0","0","74","5.3"
"C.J. Prosise","RB","SEA","16","16","27","0","0","bye","2","0","0","13","0","0","0","0","0","0","0","74","14.8"
"David Fales","QB","MIA","bye","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","68","71","35.5"
"Landry Jones","QB","PIT","0","0","0","0","0","0","0","0","bye","0","4","0","0","0","0","7","59","70","23.3"
"James Conner","RB","PIT","8","4","0","6","6","5","6","4","bye","1","8","1","3","7","9","0","0","68","4.9"
"Justin Hunter","WR","PIT","0","0","0","9","5","0","0","20","bye","0","0","7","0","15","0","6","4","66","9.4"
"Geno Smith","QB","NYG","0","0","0","0","0","0","0","bye","4","0","0","0","62","0","0","0","0","66","33.0"
"Terrance West","RB","BAL","27","15","10","11","3","0","0","0","0","bye","0","0","0","0","0","0","0","66","13.2"
"Zach Zenner","RB","DET","0","0","7","19","9","9","bye","0","0","0","4","6","4","7","0","0","0","65","8.1"
"Cody Core","WR","CIN","10","7","5","8","12","bye","20","0","2","0","1","0","0","0","0","0","0","65","5.0"
"Freddie Martino","WR","TB","bye","0","0","0","0","0","0","0","0","13","7","3","4","4","6","9","18","64","8.0"
"Jaelen Strong","WR","Multi","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","42","0","62","31.0"
"Patrick Mahomes II","QB","KC","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","62","62","62.0"
"Ryan Mallett","QB","BAL","0","0","23","0","0","0","0","36","0","bye","0","0","0","0","0","0","0","59","29.5"
"Chris Matthews","WR","BAL","0","7","7","14","8","23","0","0","0","bye","0","0","0","0","0","0","0","59","9.8"
"Quan Bray","WR","IND","4","6","33","1","5","0","8","1","0","0","bye","0","0","0","0","0","0","58","6.4"
"Cobi Hamilton","WR","HOU","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","3","1","49","53","17.7"
"Akeem Hunt","RB","KC","0","0","1","3","0","6","4","1","0","bye","3","6","6","2","4","0","16","52","3.5"
"Matt LaCosse","TE","Multi","0","0","0","0","0","9","17","0","12","0","0","0","0","0","0","5","8","51","10.2"
"Jeff Janis","WR","GB","3","1","0","1","0","1","0","bye","0","1","0","0","1","0","0","12","30","50","3.1"
"Byron Marshall","RB","Multi","0","0","0","0","0","0","0","0","0","0","3","21","26","0","0","0","0","50","12.5"
"Dwayne Washington","RB","DET","14","7","0","0","0","0","bye","14","11","4","0","0","0","0","0","0","0","50","10.0"
"Ifeanyi Momah","TE","ARI","3","21","2","3","2","4","1","bye","9","4","0","0","0","0","0","0","0","49","5.4"
"Corey Grant","RB","JAC","0","3","12","5","1","2","8","bye","6","0","0","0","0","0","12","0","0","49","3.1"
"Cethan Carter","TE","CIN","0","0","2","9","16","bye","5","11","1","0","0","0","0","0","5","0","0","49","3.1"
"Cody Kessler","QB","CLE","0","0","0","0","0","0","38","0","bye","7","0","3","0","0","0","0","0","48","16.0"
"Kevin White","WR","CHI","47","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","47","47.0"
"David Johnson","RB","ARI","46","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","46","46.0"
"Alex Armah","RB","CAR","0","0","0","0","1","2","3","0","17","17","bye","0","6","0","0","0","0","46","5.1"
"Fozzy Whittaker","RB","CAR","1","1","6","6","3","2","0","0","0","0","bye","1","1","8","7","4","4","44","3.7"
"Brandon Bolden","RB","NE","0","0","0","0","0","0","0","0","bye","3","0","0","0","0","0","5","34","42","2.6"
"Scott Tolzien","QB","IND","41","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","41","41.0"
"Matthew Dayes","RB","CLE","13","2","0","8","0","5","0","6","bye","0","6","0","0","0","0","1","0","41","2.6"
"Nate Sudfeld","QB","PHI","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","40","40","40.0"
"Joe Webb III","QB","BUF","0","0","0","0","0","bye","0","0","3","0","0","0","5","28","0","3","0","39","2.4"
"Stevan Ridley","RB","Multi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","29","39","19.5"
