Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time
39,CAR,2017,10/12/2017,8:25,8:25,,PHI,6,6,Thu,L 23-28,,305,79,3.8608,60,5.1667,3,31:26:00,3:20
20,CHI,2019,12/15/2019,1:00,12:00,@,GNB,15,14,Sun,L 13-21,,415,83,5,58,5.0345,3,34:22:00,3:17
16,CHI,2017,12/10/2017,1:00,1:00,@,CIN,14,13,Sun,W 33-7,,482,72,6.6944,53,4.4151,,38:09:00,3:10
14,CHI,2017,10/29/2017,1:00,12:00,@,NOR,8,8,Sun,L 12-20,,307,65,4.7231,60,6.45,1,28:37:00,3:08
15,CHI,2018,10/28/2018,1:00,12:00,,NYJ,8,7,Sun,W 24-10,,395,65,6.0769,54,3.8333,,32:44:00,3:00
16,CHI,2019,9/5/2019,8:20,7:20,,GNB,1,1,Thu,L 3-10,,254,65,3.9077,57,3.7368,1,28:57:00,3:07
20,CHI,2017,11/19/2017,1:00,12:00,,DET,11,10,Sun,L 24-27,,398,61,6.5246,58,6.069,1,29:24:00,3:07
16,CHI,2018,9/30/2018,1:00,12:00,,TAM,4,4,Sun,W 48-10,,483,58,8.3276,60,5.1833,,28:06:00,2:57
17,CHI,2018,12/16/2018,1:00,12:00,,GNB,15,14,Sun,W 24-17,,332,58,5.7241,66,4.8939,1,30:23:00,2:58
18,CHI,2019,9/23/2019,8:15,8:15,@,WAS,3,3,Mon,W 31-15,,298,58,5.1379,68,5.2353,1,31:36:00,3:05
2,CHI,2018,11/4/2018,1:00,1:00,@,BUF,9,8,Sun,W 41-9,,190,46,4.1304,81,3.2593,1,25:57:00,3:10
64,CHI,2018,10/21/2018,1:00,12:00,,NWE,7,6,Sun,L 31-38,,453,77,5.8831,64,5.9531,2,30:09:00,3:21
65,CHI,2018,12/2/2018,1:00,1:00,@,NYG,13,12,Sun,L 27-30,OT,376,77,4.8831,68,4.9706,3,33:58:00,3:34
66,CHI,2019,10/27/2019,1:00,12:00,,LAC,8,7,Sun,L 16-17,,388,77,5.039,42,5.5,2,38:00:00,2:56
94,CHI,2017,10/15/2017,1:00,1:00,@,BAL,6,6,Sun,W 27-24,OT,342,75,4.56,70,4.1571,2,36:45:00,3:26
95,CHI,2019,12/29/2019,1:00,3:00,@,MIN,17,16,Sun,W 21-19,,337,75,4.4933,47,6.383,1,37:40:00,2:56
