Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,TD,Pts,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Touch,TotOff,YScm,APYd,RtY
Mark Ingram,RB,29.317,2019-11-03,NFL,BAL,,NWE,W 37-20,8,9,Sun,0,0,,0,0,0,,0,0,,,15,115,7.67,0,3,2,29,14.50,0,66.7%,9.67,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0,1,1,0,0,0,0,17,115,144,144,0
Mark Ingram,RB,29.345,2019-12-01,NFL,BAL,,SFO,W 20-17,12,13,Sun,0,0,,0,0,0,,0,0,,,15,59,3.93,0,2,2,3,1.50,0,100.0%,1.50,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,59,62,62,0
Mark Ingram,RB,27.361,2017-12-17,NFL,NOR,,NYJ,W 31-19,14,15,Sun,0,0,,0,0,0,,0,0,,,12,74,6.17,2,6,5,77,15.40,0,83.3%,12.83,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,74,151,151,0
Mark Ingram,RB,28.010,2017-12-31,NFL,NOR,@,TAM,L 24-31,16,17,Sun,0,0,,0,0,0,,0,0,,,13,35,2.69,0,4,4,19,4.75,0,100.0%,4.75,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,35,54,54,0
Chris Ivory,RB,29.214,2017-10-22,NFL,JAX,@,IND,W 27-0,7,7,Sun,0,0,,0,0,0,,0,0,,,17,47,2.76,1,0,0,0,,0,0.0%,,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,,,1,1,0,0,0,0,17,47,47,47,0
Chris Ivory,RB,29.270,2017-12-17,NFL,JAX,,HOU,W 45-7,14,15,Sun,0,0,,0,0,0,,0,0,,,17,42,2.47,0,0,0,0,,0,0.0%,,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,42,42,42,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Jackson,QB,21.329,2018-12-02,NFL,BAL,@,ATL,W 26-16,12,13,Sun,12,21,57.14,125,0,0,74.5,2,8,5.95,5.95,17,75,4.41,1,0,0,0,,0,0.0%,,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,3,1,0,0,0,0,17,192,75,75,0
Lamar Jackson,QB,22.349,2019-12-22,NFL,BAL,@,CLE,W 31-15,15,16,Sun,20,31,64.52,238,3,0,120.1,0,0,7.68,9.61,17,103,6.06,0,0,0,0,,0,0.0%,,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0,2,1,0,1,0,0,17,341,103,103,0
Josh Jacobs,RB,21.258,2019-10-27,NFL,OAK,@,HOU,L 24-27,7,8,Sun,0,0,,0,0,0,,0,0,,,15,66,4.40,0,2,2,15,7.50,0,100.0%,7.50,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,66,81,81,0
Josh Jacobs,RB,21.293,2019-12-01,NFL,OAK,@,KAN,L 9-40,12,13,Sun,0,0,,0,0,0,,0,0,,,17,104,6.12,0,0,0,0,,0,0.0%,,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,1,0,0,17,104,104,104,0
David Johnson,RB,25.268,2017-09-10,NFL,ARI,@,DET,L 23-35,1,1,Sun,0,0,,0,0,0,,0,0,,,11,23,2.09,0,9,6,67,11.17,0,66.7%,7.44,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0,2,1,0,0,0,0,17,23,90,90,0
David Johnson,RB,27.280,2019-09-22,NFL,ARI,,CAR,L 20-38,3,3,Sun,0,0,,0,0,0,,0,0,,,11,37,3.36,0,9,6,28,4.67,1,66.7%,3.11,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,37,65,65,0
David Johnson,RB,26.306,2018-10-18,NFL,ARI,,DEN,L 10-45,7,7,Thu,0,0,,0,0,0,,0,0,,,14,39,2.79,0,3,3,31,10.33,0,100.0%,10.33,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,39,70,70,0
Kerryon Johnson,RB,21.141,2018-11-18,NFL,DET,,CAR,W 20-19,10,11,Sun,0,0,,0,0,0,,0,0,,,15,87,5.80,1,2,2,10,5.00,0,100.0%,5.00,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,87,97,97,0
Ronald Jones II,RB,22.140,2019-12-21,NFL,TAM,,HOU,L 20-23,15,16,Sat,0,0,,0,0,0,,0,0,,,14,77,5.50,1,4,3,32,10.67,0,75.0%,8.00,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,77,109,109,0
Alvin Kamara,RB,23.046,2018-09-09,NFL,NOR,,TAM,L 40-48,1,1,Sun,0,0,,0,0,0,,0,0,,,8,29,3.63,2,12,9,112,12.44,1,75.0%,9.33,,,,,,,1,,3,20,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,29,141,141,0
Alvin Kamara,RB,22.110,2017-11-12,NFL,NOR,@,BUF,W 47-10,9,10,Sun,0,0,,0,0,0,,0,0,,,12,106,8.83,1,5,5,32,6.40,0,100.0%,6.40,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,106,138,138,0
Alvin Kamara,RB,23.137,2018-12-09,NFL,NOR,@,TAM,W 28-14,13,14,Sun,0,0,,0,0,0,,0,0,,,12,51,4.25,0,6,5,36,7.20,0,83.3%,6.00,,,,,,,1,,0,2,3,76,25.33,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,51,87,163,76
Alvin Kamara,RB,24.136,2019-12-08,NFL,NOR,,SFO,L 46-48,13,14,Sun,0,0,,0,0,0,,0,0,,,13,25,1.92,0,6,4,18,4.50,0,66.7%,3.00,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0,1,1,0,0,0,0,17,25,43,43,0
Alvin Kamara,RB,24.150,2019-12-22,NFL,NOR,@,TEN,W 38-28,15,16,Sun,0,0,,0,0,0,,0,0,,,11,80,7.27,2,7,6,30,5.00,0,85.7%,4.29,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,80,110,110,0
Dion Lewis,RB,27.032,2017-10-29,NFL,NWE,,LAC,W 21-13,8,8,Sun,0,0,,0,0,0,,0,0,,,15,44,2.93,0,2,2,10,5.00,0,100.0%,5.00,,,,,,,,,0,0,2,96,48.00,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,44,54,150,96
Phillip Lindsay,RB,24.047,2018-09-09,NFL,DEN,,SEA,W 27-24,1,1,Sun,0,0,,0,0,0,,0,0,,,15,71,4.73,0,3,2,31,15.50,1,66.7%,10.33,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,17,71,102,102,0
Phillip Lindsay,RB,25.053,2019-09-15,NFL,DEN,,CHI,L 14-16,2,2,Sun,0,0,,0,0,0,,0,0,,,13,36,2.77,0,7,4,30,7.50,0,57.1%,4.29,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,36,66,66,0
Phillip Lindsay,RB,25.081,2019-10-13,NFL,DEN,,TEN,W 16-0,6,6,Sun,0,0,,0,0,0,,0,0,,,15,70,4.67,1,3,2,5,2.50,0,66.7%,1.67,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,70,75,75,0
