Player,Team,Season,Player_Address,Date,Status,Opp,Injury,Week,Position
Brandon Williams,ARI,2019.0,/players/W/WillBr07,2019-10-27,Injured Reserve,NOR,,8,CB
Brandon Williams,ARI,2019.0,/players/W/WillBr07,2019-10-31,Injured Reserve,SFO,,9,CB
Brandon Williams,ARI,2019.0,/players/W/WillBr07,2019-11-10,Injured Reserve,TAM,,10,CB
Brandon Williams,ARI,2019.0,/players/W/WillBr07,2019-11-17,Injured Reserve,SFO,,11,CB
Brandon Williams,ARI,2019.0,/players/W/WillBr07,2019-12-01,Injured Reserve,LAR,,13,CB
Brandon Williams,ARI,2019.0,/players/W/WillBr07,2019-12-08,Injured Reserve,PIT,,14,CB
Brandon Williams,ARI,2019.0,/players/W/WillBr07,2019-12-15,Injured Reserve,CLE,,15,CB
Brandon Williams,ARI,2019.0,/players/W/WillBr07,2019-12-22,Injured Reserve,SEA,,16,CB
Brandon Williams,ARI,2019.0,/players/W/WillBr07,2019-12-29,Injured Reserve,LAR,,17,CB
Jonathan Bullard,ARI,2019.0,/players/B/BullJo00,2019-09-15,Questionable,BAL,Hamstring,2,DE
Jonathan Bullard,ARI,2019.0,/players/B/BullJo00,2019-09-22,Questionable,CAR,Hamstring,3,DE
Jonathan Bullard,ARI,2019.0,/players/B/BullJo00,2019-11-17,Out,SFO,Foot,11,DE
Jonathan Bullard,ARI,2019.0,/players/B/BullJo00,2019-12-01,Questionable,LAR,Foot,13,DE
Jonathan Bullard,ARI,2019.0,/players/B/BullJo00,2019-12-08,Injured Reserve,PIT,,14,DE
Jonathan Bullard,ARI,2019.0,/players/B/BullJo00,2019-12-15,Injured Reserve,CLE,,15,DE
Jonathan Bullard,ARI,2019.0,/players/B/BullJo00,2019-12-22,Injured Reserve,SEA,,16,DE
Jonathan Bullard,ARI,2019.0,/players/B/BullJo00,2019-12-29,Injured Reserve,LAR,,17,DE
Chris Jones,ARI,2019.0,/players/J/JoneCh06,2019-09-22,Questionable,CAR,Ankle,3,CB
Miles Brown,ARI,2019.0,/players/B/BrowMi01,2019-09-29,Questionable,SEA,Shoulder,4,DT
Damiere Byrd,ARI,2019.0,/players/B/ByrdDa00,2019-09-29,Out,SEA,Hamstring,4,WR
Damiere Byrd,ARI,2019.0,/players/B/ByrdDa00,2019-10-06,Questionable,CIN,Hamstring,5,WR
Damiere Byrd,ARI,2019.0,/players/B/ByrdDa00,2019-10-13,Questionable,ATL,Hamstring,6,WR
Andy Lee,ARI,2019.0,/players/L/LeexAn20,2019-09-29,Questionable,SEA,right Hip,4,P
Andy Lee,ARI,2019.0,/players/L/LeexAn20,2019-10-06,Questionable,CIN,right Hip,5,P
Andy Lee,ARI,2019.0,/players/L/LeexAn20,2019-10-13,Questionable,ATL,right Hip,6,P
Andy Lee,ARI,2019.0,/players/L/LeexAn20,2019-10-20,Questionable,NYG,right Hip,7,P
Charles Washington,ARI,2019.0,/players/W/WashCh01,2019-09-29,Out,SEA,Shoulder,4,DB
Charles Washington,ARI,2019.0,/players/W/WashCh01,2019-10-06,Out,CIN,Shoulder,5,DB
Charles Washington,ARI,2019.0,/players/W/WashCh01,2019-10-13,Out,ATL,Shoulder,6,DB
Charles Washington,ARI,2019.0,/players/W/WashCh01,2019-10-20,Questionable,NYG,Shoulder,7,DB
Zach Allen,ARI,2019.0,/players/A/AlleZa01,2019-10-06,Out,CIN,Neck,5,DL
Zach Allen,ARI,2019.0,/players/A/AlleZa01,2019-10-13,Questionable,ATL,Neck,6,DL
Zach Allen,ARI,2019.0,/players/A/AlleZa01,2019-10-20,Out,NYG,Neck,7,DL
Zach Allen,ARI,2019.0,/players/A/AlleZa01,2019-10-27,Out,NOR,Neck,8,DL
Zach Allen,ARI,2019.0,/players/A/AlleZa01,2019-10-31,Out,SFO,Neck,9,DL
Zach Allen,ARI,2019.0,/players/A/AlleZa01,2019-11-10,Out,TAM,Neck,10,DL
Zach Allen,ARI,2019.0,/players/A/AlleZa01,2019-11-17,Injured Reserve,SFO,,11,DL
Zach Allen,ARI,2019.0,/players/A/AlleZa01,2019-12-01,Injured Reserve,LAR,,13,DL
Zach Allen,ARI,2019.0,/players/A/AlleZa01,2019-12-08,Injured Reserve,PIT,,14,DL
Zach Allen,ARI,2019.0,/players/A/AlleZa01,2019-12-15,Injured Reserve,CLE,,15,DL
Zach Allen,ARI,2019.0,/players/A/AlleZa01,2019-12-22,Injured Reserve,SEA,,16,DL
Zach Allen,ARI,2019.0,/players/A/AlleZa01,2019-12-29,Injured Reserve,LAR,,17,DL
Tramaine Brock,ARI,2019.0,/players/B/BrocTr00,2019-10-06,Questionable,CIN,Back,5,DB
Tramaine Brock,ARI,2019.0,/players/B/BrocTr00,2019-11-10,Out,TAM,Hamstring,10,DB
Tramaine Brock,ARI,2019.0,/players/B/BrocTr00,2019-11-17,Questionable,SFO,Hamstring,11,DB
Dennis Gardeck,ARI,2019.0,/players/G/GardDe01,2019-10-06,Out,CIN,Ankle,5,LB
Dennis Gardeck,ARI,2019.0,/players/G/GardDe01,2019-10-13,Out,ATL,Ankle,6,LB
Dennis Gardeck,ARI,2019.0,/players/G/GardDe01,2019-10-20,Questionable,NYG,Ankle,7,LB
Dennis Gardeck,ARI,2019.0,/players/G/GardDe01,2019-10-27,Questionable,NOR,Ankle,8,LB
Christian Kirk,ARI,2019.0,/players/K/KirkCh01,2019-10-06,Out,CIN,Ankle,5,WR
Christian Kirk,ARI,2019.0,/players/K/KirkCh01,2019-10-13,Questionable,ATL,Ankle,6,WR
Christian Kirk,ARI,2019.0,/players/K/KirkCh01,2019-10-20,Questionable,NYG,Ankle,7,WR
Christian Kirk,ARI,2019.0,/players/K/KirkCh01,2019-10-27,Questionable,NOR,Ankle,8,WR
Christian Kirk,ARI,2019.0,/players/K/KirkCh01,2019-12-22,Questionable,SEA,Ankle,16,WR
Jordan Mills,ARI,2019.0,/players/M/MillJo02,2019-10-06,Injured Reserve,CIN,,5,OT
Jordan Mills,ARI,2019.0,/players/M/MillJo02,2019-10-13,Injured Reserve,ATL,,6,OT
Jordan Mills,ARI,2019.0,/players/M/MillJo02,2019-10-20,Injured Reserve,NYG,,7,OT
Jordan Mills,ARI,2019.0,/players/M/MillJo02,2019-10-27,Injured Reserve,NOR,,8,OT
Jordan Mills,ARI,2019.0,/players/M/MillJo02,2019-10-31,Injured Reserve,SFO,,9,OT
Jordan Mills,ARI,2019.0,/players/M/MillJo02,2019-11-10,Injured Reserve,TAM,,10,OT
Jordan Mills,ARI,2019.0,/players/M/MillJo02,2019-11-17,Injured Reserve,SFO,,11,OT
Jordan Mills,ARI,2019.0,/players/M/MillJo02,2019-12-01,Injured Reserve,LAR,,13,OT
Jordan Mills,ARI,2019.0,/players/M/MillJo02,2019-12-08,Injured Reserve,PIT,,14,OT
Jordan Mills,ARI,2019.0,/players/M/MillJo02,2019-12-15,Injured Reserve,CLE,,15,OT
Jordan Mills,ARI,2019.0,/players/M/MillJo02,2019-12-22,Injured Reserve,SEA,,16,OT
Jordan Mills,ARI,2019.0,/players/M/MillJo02,2019-12-29,Injured Reserve,LAR,,17,OT
Justin Pugh,ARI,2019.0,/players/P/PughJu00,2019-10-06,Questionable,CIN,Shoulder,5,OG
Justin Pugh,ARI,2019.0,/players/P/PughJu00,2019-12-15,Questionable,CLE,Back,15,OG
Justin Pugh,ARI,2019.0,/players/P/PughJu00,2019-12-22,Questionable,SEA,Back,16,OG
