Player,Age,Pos,Team,Date,Day,Season,Week,G#,Away_Home,Opp,Result,Fntsy_Pts,Snaps,Snap %,Status,Injury
Adrian Colbert,24.072,S,SFO,2017-12-17,Sun,2017,15,14.0,Home,TEN,W 25-23,11.5,63.0,63.0,,
Adrian Colbert,24.079,S,SFO,2017-12-24,Sun,2017,16,15.0,Home,JAX,W 44-33,9.0,87.0,87.0,,
Adrian Colbert,24.086,S,SFO,2017-12-31,Sun,2017,17,16.0,Away,LAR,W 34-13,10.0,65.0,65.0,,
Adrian Peterson,,,ARI,2017-12-03,Sun,2017,13,12.0,Home,LAR,L 16-32,,,,Injured Reserve,Neck
Adrian Peterson,,,ARI,2017-12-10,Sun,2017,14,13.0,Home,TEN,W 12-7,,,,Injured Reserve,Neck
Adrian Peterson,,,ARI,2017-12-17,Sun,2017,15,14.0,Away,WAS,L 15-20,,,,Out,Neck
Adrian Peterson,,,ARI,2017-12-24,Sun,2017,16,15.0,Home,NYG,W 23-0,,,,Injured Reserve,Neck
Adrian Peterson,,,ARI,2017-12-31,Sun,2017,17,16.0,Away,SEA,W 26-24,,,,Injured Reserve,Neck
Adrian Phillips,25.208,S,LAC,2017-10-22,Sun,2017,7,7.0,Home,DEN,W 21-0,14.5,46.0,46.0,Questionable,Neck
Adrian Phillips,25.215,S,LAC,2017-10-29,Sun,2017,8,8.0,Away,NWE,L 13-21,21.5,59.0,59.0,,
Adrian Phillips,25.229,S,LAC,2017-11-12,Sun,2017,10,9.0,Away,JAX,L 17-20,0.0,42.0,42.0,,
Adrian Phillips,25.236,S,LAC,2017-11-19,Sun,2017,11,10.0,Home,BUF,W 54-24,9.0,55.0,55.0,,
Adrian Phillips,25.24,S,LAC,2017-11-23,Thu,2017,12,11.0,Away,DAL,W 28-6,6.75,48.0,48.0,,
Adrian Phillips,25.25,S,LAC,2017-12-03,Sun,2017,13,12.0,Home,CLE,W 19-10,9.75,51.0,51.0,,
Adrian Phillips,25.257,S,LAC,2017-12-10,Sun,2017,14,13.0,Home,WAS,W 30-13,8.0,43.0,43.0,,
Adrian Phillips,25.263,S,LAC,2017-12-16,Sat,2017,15,14.0,Away,KAN,L 13-30,12.0,52.0,52.0,,
Adrian Phillips,25.271,S,LAC,2017-12-24,Sun,2017,16,15.0,Away,NYJ,W 14-7,3.0,27.0,27.0,,
Adrian Phillips,,,LAC,2017-12-31,Sun,2017,17,16.0,Home,OAK,W 30-10,,,,Out,Ankle
Ahmad Brooks,,,GNB,2017-09-17,Sun,2017,2,2.0,Away,ATL,L 23-34,,,,Doubtful,Concussion
Ahmad Brooks,33.194,LB,GNB,2017-09-24,Sun,2017,3,3.0,Home,CIN,W 27-24,9.0,32.0,32.0,,
Ahmad Brooks,33.198,LB,GNB,2017-09-28,Thu,2017,4,4.0,Home,CHI,W 35-14,3.5,37.0,37.0,,
Ahmad Brooks,33.208,LB,GNB,2017-10-08,Sun,2017,5,5.0,Away,DAL,W 35-31,2.25,23.0,23.0,Questionable,Back
Ahmad Brooks,,,GNB,2017-10-15,Sun,2017,6,6.0,Away,MIN,L 10-23,,,,Doubtful,Back
Ahmad Brooks,,,GNB,2017-10-22,Sun,2017,7,7.0,Home,NOR,L 17-26,,,,Out,Back
Ahmad Brooks,,,GNB,2017-11-06,Mon,2017,9,8.0,Home,DET,L 17-30,,,,Doubtful,Back
Ahmad Brooks,33.243,LB,GNB,2017-11-12,Sun,2017,10,9.0,Away,CHI,W 23-16,1.5,28.0,28.0,Questionable,Back
Ahmad Brooks,33.25,LB,GNB,2017-11-19,Sun,2017,11,10.0,Home,BAL,L 0-23,7.75,26.0,26.0,Questionable,Back
Ahmad Brooks,33.257,LB,GNB,2017-11-26,Sun,2017,12,11.0,Away,PIT,L 28-31,3.0,48.0,48.0,,
Ahmad Brooks,33.264,LB,GNB,2017-12-03,Sun,2017,13,12.0,Home,TAM,W 26-20,0.0,29.0,29.0,Questionable,Back
Ahmad Brooks,33.271,LB,GNB,2017-12-10,Sun,2017,14,13.0,Away,CLE,W 27-21,0.75,33.0,33.0,,
Ahmad Brooks,33.278,LB,GNB,2017-12-17,Sun,2017,15,14.0,Away,CAR,L 24-31,8.75,47.0,47.0,,
