Player,Age,Pos,Team,Date,Day,Season,Week,G#,Away_Home,Opp,Result,Fntsy_Pts,Snaps,Snap %,Status,Injury
Amari Cooper,25.104,WR,DAL,2019-09-29,Sun,2019,4,4.0,Away,NOR,L 10-12,7.300000000000001,56.0,0.97,,
Amari Cooper,25.111,WR,DAL,2019-10-06,Sun,2019,5,5.0,Home,GNB,L 24-34,34.1,62.0,0.87,,
Amari Cooper,25.118,WR,DAL,2019-10-13,Sun,2019,6,6.0,Away,NYJ,L 22-24,0.8,3.0,0.04,,
Andre Patton,25.124,WR,LAC,2019-09-29,Sun,2019,4,4.0,Away,MIA,W 30-10,3.2,24.0,0.36,,
Andre Patton,25.131,WR,LAC,2019-10-06,Sun,2019,5,5.0,Home,DEN,L 13-20,0.0,16.0,0.23,,
Andrew Sendejo,31.364,S,PHI,2019-09-08,Sun,2019,1,1.0,Home,WAS,W 32-27,7.5,36.0,0.55,,
Andrew Sendejo,32.006,S,PHI,2019-09-15,Sun,2019,2,2.0,Away,ATL,L 20-24,9.75,18.0,0.28,,
Andrew Sendejo,32.013,S,PHI,2019-09-22,Sun,2019,3,3.0,Home,DET,L 24-27,4.5,22.0,0.36,,
Andrew Sendejo,32.017,S,PHI,2019-09-26,Thu,2019,4,4.0,Away,GNB,W 34-27,13.25,64.0,0.8,,
Andrew Sendejo,,S,PHI,2019-10-06,Sun,2019,5,5.0,Home,NYJ,W 31-6,,16.0,0.28,,
Andrew Sendejo,32.034,S,PHI,2019-10-13,Sun,2019,6,6.0,Away,MIN,L 20-38,11.25,20.0,0.28,,
Andrew Sendejo,32.041,S,PHI,2019-10-20,Sun,2019,7,7.0,Away,DAL,L 10-37,4.5,24.0,0.35,,
Andrew Sendejo,32.048,S,PHI,2019-10-27,Sun,2019,8,8.0,Away,BUF,W 31-13,3.0,23.0,0.38,,
Andy Isabella,22.294,WR,ARI,2019-09-08,Sun,2019,1,1.0,Home,DET,T 27-27,0.0,,,,
Andy Isabella,22.308,WR,ARI,2019-09-22,Sun,2019,3,3.0,Home,CAR,L 20-38,0.0,1.0,0.01,,
Andy Isabella,22.315,WR,ARI,2019-09-29,Sun,2019,4,4.0,Home,SEA,L 10-27,0.5,8.0,0.13,,
