Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,TD,Pts,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD
Brandon Aiyuk ,WR,22.278,2020-12-20,NFL,SFO,@,DAL,L 33-41,14,15,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,13,9,73,8.11,1,69.2%,5.62,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Aiyuk ,WR,22.243,2020-11-15,NFL,SFO,@,NOR,L 13-27,10,10,Sun,0,0,,0,0,0,,0,0,,,1,-8,-8.00,0,14,7,75,10.71,1,50.0%,5.36,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Aiyuk ,WR,22.201,2020-10-04,NFL,SFO,,PHI,L 20-25,4,4,Sun,0,0,,0,0,0,,0,0,,,1,38,38.00,1,5,2,18,9.00,0,40.0%,3.60,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Aiyuk ,WR,22.215,2020-10-18,NFL,SFO,,LAR,W 24-16,6,6,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,3,2,12,6.00,1,66.7%,4.00,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Aiyuk ,WR,22.229,2020-11-01,NFL,SFO,@,SEA,L 27-37,8,8,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,10,8,91,11.38,1,80.0%,9.10,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
Brandon Aiyuk ,WR,22.194,2020-09-27,NFL,SFO,@,NYG,W 36-9,3,3,Sun,0,0,,0,0,0,,0,0,,,3,31,10.33,1,8,5,70,14.00,0,62.5%,8.75,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Aiyuk ,WR,22.265,2020-12-07,NFL,SFO,,BUF,L 24-34,12,13,Mon,0,0,,0,0,0,,0,0,,,0,0,,0,9,5,95,19.00,1,55.6%,10.56,,,,,,,,,1,6,0,0,,0,1,16,16.00,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Akers ,RB,21.154,2020-11-23,NFL,LAR,@,TAM,W 27-24,10,11,Mon,0,0,,0,0,0,,0,0,,,5,15,3.00,0,1,1,4,4.00,1,100.0%,4.00,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Akers ,RB,21.167,2020-12-06,NFL,LAR,@,ARI,W 38-28,12,13,Sun,0,0,,0,0,0,,0,0,,,21,72,3.43,1,1,1,22,22.00,0,100.0%,22.00,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Akers ,RB,21.160,2020-11-29,NFL,LAR,,SFO,L 20-23,11,12,Sun,0,0,,0,0,0,,0,0,,,9,84,9.33,1,0,0,0,,0,0.0%,,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Akins,TE,28.144,2020-09-10,NFL,HOU,@,KAN,L 20-34,1,1,Thu,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,39,19.50,1,100.0%,19.50,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mo Alie-Cox,TE,27.008,2020-09-27,NFL,IND,,NYJ,W 36-7,3,3,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,50,16.67,1,100.0%,16.67,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
