Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,PF,PA,PD,PC,Spread,vs. Line,Over/Under,OU Result,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,Pnt,Yds,Y/P
SFO,2019,2019-12-08,1:00,12:00,@,NOR,14,13,Sun,W 48-46,,48,46,2,94,1.0,covered,45.0,over,27,36,75.0,354,5,1,3,30,137.0,24,162,6.75,1,516,63,8.1905,68,6.8382,1,28:37,3:23,10,67,5,50,15,117,25,7,15,3,12,6,50.0%,1,1,100.0%,6,6,6,2,2,0,,,3,134,44.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAM,2018,2018-09-09,1:00,12:00,@,NOR,1,1,Sun,W 48-40,,48,40,8,88,10.0,covered,50.0,over,21,28,75.0,417,4,0,0,0,156.2,34,112,3.29,1,529,62,8.5323,59,8.0508,,32:09,3:13,7,70,8,77,15,147,26,5,17,4,13,8,61.5%,0,0,,6,6,6,3,2,0,,,1,42,42.00
DAL,2019,2019-12-29,4:25,3:25,,WAS,17,16,Sun,W 47-16,,47,16,31,63,-12.5,covered,47.5,over,23,33,69.7,294,4,0,3,9,138.0,36,223,6.19,1,517,72,7.1806,59,4.5932,1,34:15,3:14,10,81,2,10,12,91,22,9,13,0,15,8,53.3%,1,1,100.0%,5,5,5,4,4,0,,,2,62,31.00
NOR,2017,2017-11-12,1:00,1:00,@,BUF,10,9,Sun,W 47-10,,47,10,37,57,-2.0,covered,48.5,over,18,25,72.0,184,0,0,0,0,92.7,48,298,6.21,6,482,73,6.6027,45,4.4000,1,41:23,2:57,4,41,8,56,12,97,32,20,9,3,12,6,50.0%,2,2,100.0%,6,6,5,2,2,0,,,0,0,
BAL,2018,2018-09-09,1:00,1:00,,BUF,1,1,Sun,W 47-3,,47,3,44,50,-7.5,covered,39.0,over,26,38,68.4,252,3,0,2,8,113.9,34,117,3.44,3,369,74,4.9865,61,2.5082,1,35:14,3:21,9,78,10,100,19,178,26,11,13,2,14,6,42.9%,0,0,,6,5,5,2,2,1,,,5,257,51.40
NOR,2019,2019-12-08,1:00,12:00,,SFO,14,13,Sun,L 46-48,,46,48,-2,94,-1.0,not covered,45.0,over,29,41,70.7,349,5,0,0,0,136.1,27,116,4.30,1,465,68,6.8382,63,8.1905,1,31:23,3:23,5,50,10,67,15,117,28,9,17,2,11,5,45.5%,3,2,66.7%,6,4,4,2,2,2,,,1,45,45.00
LAR,2017,2017-09-10,4:05,1:05,,IND,1,1,Sun,W 46-9,,46,9,37,55,-3.5,covered,41.5,over,22,30,73.3,310,1,0,1,8,118.5,33,63,1.91,2,373,64,5.8281,49,4.5918,1,34:25,2:59,7,50,4,20,11,70,19,5,13,1,14,5,35.7%,0,0,,5,5,5,3,3,0,,1,5,218,43.60
SEA,2017,2017-10-01,8:30,5:30,,IND,4,4,Sun,W 46-18,,46,18,28,64,-12.5,covered,41.5,over,21,26,80.8,283,2,2,3,12,107.5,33,194,5.88,2,477,62,7.6935,57,4.1579,2,32:12,3:14,6,45,5,31,11,76,22,9,11,2,15,10,66.7%,1,1,100.0%,6,5,5,2,1,1,1,,1,35,35.00
CAR,2017,2017-11-13,8:30,8:30,,MIA,10,10,Mon,W 45-21,,45,21,24,66,-8.0,covered,38.5,over,21,35,60.0,254,4,0,0,0,120.4,36,294,8.17,2,548,71,7.7183,54,5.7963,,35:39,3:05,6,37,7,57,13,94,30,12,16,2,14,11,78.6%,0,0,,6,6,6,1,1,0,,,2,85,42.50
DEN,2018,2018-10-18,8:20,6:20,@,ARI,7,7,Thu,W 45-10,,45,10,35,55,-1.0,covered,42.5,over,15,22,68.2,178,2,1,2,11,106.1,31,131,4.23,2,309,55,5.6182,66,3.3788,1,30:49,3:04,5,50,7,45,12,95,15,6,8,1,13,5,38.5%,0,0,,6,6,6,1,1,0,,,6,261,43.50
JAX,2017,2017-12-17,1:00,1:00,,HOU,15,14,Sun,W 45-7,,45,7,38,52,-10.5,covered,39.0,over,21,29,72.4,326,3,0,1,0,143.7,38,138,3.63,3,464,68,6.8235,56,3.3214,,33:18,3:16,8,54,14,127,22,181,25,8,14,3,10,3,30.0%,0,0,,6,6,6,1,1,0,,,6,283,47.17
JAX,2017,2018-01-14,1:05,1:05,@,PIT,19,18,Sun,W 45-42,,45,42,3,87,7.0,covered,40.5,over,14,26,53.8,214,1,0,0,0,94.1,35,164,4.69,4,378,61,6.1967,78,6.9872,,28:50,3:22,3,40,4,25,7,65,22,9,12,1,14,8,57.1%,1,1,100.0%,6,6,6,1,1,0,,,4,131,32.75
KAN,2018,2018-10-21,8:20,12:00,,CIN,7,7,Sun,W 45-10,,45,10,35,55,-6.5,covered,56.0,under,28,39,71.8,353,4,1,2,5,123.7,29,198,6.83,1,551,70,7.8714,54,4.4259,1,33:43,3:04,8,49,8,58,16,107,33,12,19,2,12,9,75.0%,1,0,0.0%,6,6,6,2,1,0,,,0,0,
NOR,2018,2018-11-04,4:25,3:25,,LAR,9,8,Sun,W 45-35,,45,35,10,80,1.5,covered,57.0,over,25,36,69.4,346,4,0,0,0,137.0,34,141,4.15,2,487,70,6.9571,59,8.1864,1,33:41,3:11,2,20,4,32,6,52,31,10,19,2,12,7,58.3%,2,2,100.0%,6,6,6,1,1,0,,,2,67,33.50
OAK,2017,2017-09-17,4:05,1:05,,NYJ,2,2,Sun,W 45-20,,45,20,25,65,-14.0,covered,44.0,over,23,28,82.1,230,3,0,0,0,136.6,27,180,6.67,3,410,55,7.4545,53,5.1132,,31:02,3:00,9,79,5,47,14,126,21,6,13,2,12,8,66.7%,0,0,,6,6,6,1,1,0,,,3,166,55.33
OAK,2018,2018-09-30,4:05,1:05,,CLE,4,4,Sun,W 45-42,OT,45,42,3,87,-2.5,covered,44.5,over,35,58,60.3,426,4,2,3,11,92.4,29,139,4.79,0,565,90,6.2778,74,6.5811,2,36:51,4:04,6,65,8,55,14,120,27,6,20,1,16,5,31.3%,1,0,0.0%,5,4,4,5,3,1,1,,6,267,44.50
BAL,2019,2019-11-25,8:15,5:15,@,LAR,12,11,Mon,W 45-6,,45,6,39,51,-3.5,covered,47.0,over,16,23,69.6,195,5,0,3,13,137.3,48,285,5.94,1,480,74,6.4865,48,4.6042,,39:56,2:54,8,66,8,56,16,122,31,17,13,1,15,9,60.0%,3,3,100.0%,6,6,6,1,1,0,,,1,48,48.00
LAC,2018,2018-11-25,4:05,1:05,,ARI,12,11,Sun,W 45-10,,45,10,35,55,-14.0,covered,43.0,over,28,32,87.5,236,3,0,4,23,131.6,30,178,5.93,3,414,66,6.2727,45,3.3111,1,35:18,2:45,4,30,3,35,7,65,30,11,17,2,7,3,42.9%,1,1,100.0%,6,6,6,1,1,0,,,2,105,52.50
LAC,2019,2019-12-08,4:05,4:05,@,JAX,14,13,Sun,W 45-10,,45,10,35,55,-3.5,covered,42.0,over,19,27,70.4,330,4,0,1,10,152.4,30,195,6.50,2,525,58,9.0517,63,4.0000,,29:23,2:57,6,65,10,101,16,166,27,13,11,3,8,6,75.0%,0,0,,6,6,6,1,1,0,,,2,104,52.00
DAL,2019,2019-12-15,4:25,3:25,,LAR,15,14,Sun,W 44-21,,44,21,23,65,1.0,covered,48.5,over,15,23,65.2,212,2,0,0,0,123.8,45,263,5.84,3,475,68,6.9853,68,4.2500,,36:06,3:14,4,16,5,29,9,45,25,16,8,1,13,7,53.8%,1,1,100.0%,5,5,5,3,3,0,,,2,95,47.50
GNB,2018,2018-12-23,1:00,1:00,@,NYJ,16,15,Sun,W 44-38,OT,44,38,6,82,-3.0,covered,47.5,over,37,55,67.3,413,2,0,4,29,103.7,20,127,6.35,3,540,79,6.8354,57,6.4912,1,34:19,3:47,10,86,16,172,26,258,35,9,19,7,12,5,41.7%,2,2,100.0%,5,3,3,3,3,1,1,,3,113,37.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAX,2017,2017-09-24,9:30,2:30,,BAL,3,3,Sun,W 44-7,,44,7,37,51,3.0,covered,38.0,over,20,33,60.6,244,4,0,0,0,123.0,35,166,4.74,1,410,68,6.0294,54,3.4444,,34:03,2:49,9,70,10,88,19,158,24,7,13,4,12,3,25.0%,2,2,100.0%,5,5,5,3,3,0,,,3,150,50.00
BAL,2017,2017-12-03,1:00,1:00,,DET,13,12,Sun,W 44-20,,44,20,24,64,-2.5,covered,43.0,over,23,36,63.9,269,2,0,0,0,105.0,27,101,3.74,2,370,63,5.8730,61,6.0984,,29:51,3:05,2,25,6,45,8,70,24,8,13,3,12,5,41.7%,0,0,,5,5,5,3,3,0,,,5,209,41.80
SFO,2017,2017-12-24,4:05,1:05,,JAX,16,15,Sun,W 44-33,,44,33,11,77,4.0,covered,43.0,over,21,30,70.0,238,2,1,1,4,102.4,35,131,3.74,3,369,66,5.5909,79,5.9747,1,29:11,3:27,8,68,12,99,20,167,26,7,15,4,15,10,66.7%,0,0,,6,6,5,1,1,0,,,3,131,43.67
NOR,2018,2018-09-23,1:00,1:00,@,ATL,3,3,Sun,W 43-37,OT,43,37,6,80,1.5,covered,54.0,over,39,49,79.6,391,3,0,1,5,120.7,27,143,5.30,2,534,77,6.9351,60,6.7833,,37:45,3:38,11,120,5,54,16,174,32,11,19,2,14,7,50.0%,1,1,100.0%,5,4,4,3,3,0,,,4,202,50.50
